raw,kal
31.54451,31.55061
31.41713,31.42616
31.37901,31.39315
31.49111,31.49938
31.59744,31.602
31.43085,31.44248
31.4131,31.42402
31.52313,31.53181
31.65076,31.66071
31.57101,31.5801
31.32412,31.33594
31.59682,31.60085
31.67313,31.6897
31.54342,31.55086
31.58186,31.58422
31.50241,31.51235
31.59301,31.59765
31.54142,31.55217
31.64743,31.65401
31.37235,31.38135
31.58221,31.58505
31.595,31.6062
31.52877,31.54281
31.49011,31.50056
31.58293,31.59002
31.6353,31.64825
31.59117,31.60048
31.52923,31.54068
31.60555,31.79459
31.61768,31.62627
31.66003,31.67207
31.52163,31.53126
31.54403,31.55742
31.3548,31.36397
31.42496,31.42789
31.40396,31.41783
31.2553,31.2596
31.24995,31.25582
31.3525,31.3935
31.44621,31.44434
31.48037,31.45584
31.56253,31.57713
31.62629,31.70152
33.22989,33.63957
34.60985,34.91466
35.82123,36.07391
36.84304,37.03431
37.58215,37.7213
38.25486,38.35201
38.29562,38.32183
38.47534,38.4777
38.28637,38.28907
38.28569,38.26519
38.28281,38.29248
38.50527,38.51549
38.58762,38.7052
38.4501,38.45941
38.44752,38.45136
38.63446,38.65034
38.50036,38.51385
38.62972,38.64377
38.71626,38.72532
38.68579,38.69657
38.53753,38.54519
38.52501,38.52911
38.49177,38.50101
38.49272,38.49595
38.61349,38.62037
38.63025,38.64466
38.71614,38.72462
38.62165,38.63393
38.66618,38.67521
38.73865,38.7436
38.65419,38.66088
38.6847,38.69254
38.7979,38.80437
38.69418,38.70463
38.6534,38.66122
38.6588,38.66388
38.79015,38.79079
38.69678,38.70728
38.82513,38.83487
38.79278,38.79837
38.82641,38.83684
38.69765,38.70803
38.75083,38.75322
38.64776,38.65978
38.70116,38.71223
38.75967,38.77683
38.47674,38.48369
38.6136,38.61948
38.56777,38.584
38.61015,38.61923
38.61088,38.61985
38.65565,38.6438
38.74664,38.75494
38.61782,38.62457
38.66032,38.66884
38.6094,38.61626
38.65107,38.65427
38.6078,38.62487
38.79038,38.7987
38.65321,38.66576
38.69376,38.77977
38.6436,38.65025
38.69697,38.70386
38.72765,38.73252
38.73862,38.74992
38.73729,38.73812
38.80852,38.82048
38.68501,38.69769
38.58646,38.59875
38.64035,38.64732
38.71842,38.72736
38.54929,38.55762
38.68196,38.69073
38.54561,38.56192
38.64342,38.65564
38.69294,38.70556
38.63308,38.64248
38.77888,38.78722
38.72711,38.73896
38.76152,38.76868
38.82911,38.83731
38.74024,38.75469
38.75778,38.77022
38.76033,38.77235
38.64206,38.64985
38.6654,38.6769
38.71023,38.72258
38.61411,38.62378
38.57961,38.59499
38.48582,38.49358
38.62269,38.62906
38.53341,38.54513
38.5293,38.54448
38.4366,38.44778
38.4436,38.4545
38.48621,38.49887
38.61279,38.61889
38.22533,38.23466
38.26976,38.28114
38.32253,38.33146
