x,y,z
-0.64475,-0.7644
-0.64459,-0.76453
-0.64463,-0.7645
-0.64411,-0.76494
-0.64483,-0.76433
-0.64483,-0.76433
-0.64459,-0.76453
-0.64583,-0.76348
-0.64454,-0.76457
-0.64495,-0.76423
-0.64495,-0.76423
-0.64495,-0.76423
-0.6462,-0.76317
-0.64495,-0.76423
-0.64563,-0.76365
-0.64583,-0.76348
-0.64447,-0.76463
-0.64511,-0.76409
-0.64535,-0.76389
-0.64487,-0.76429
-0.64531,-0.76392
-0.6462,-0.76317
-0.64531,-0.76392
-0.64535,-0.76389
-0.64511,-0.76409
-0.64527,-0.76396
-0.64531,-0.76392
-0.64531,-0.76392
-0.64615,-0.76321
-0.64451,-0.7646
-0.64551,-0.76375
-0.64567,-0.76362
-0.64487,-0.76429
-0.64398,-0.76504
-0.64507,-0.76413
-0.64495,-0.76423
-0.64583,-0.76348
-0.64559,-0.76369
-0.64391,-0.7651
-0.64431,-0.76477
-0.64547,-0.76379
-0.64395,-0.76507
-0.64535,-0.76389
-0.64426,-0.7648
-0.64543,-0.76382
-0.64451,-0.7646
-0.64515,-0.76406
-0.64471,-0.76443
-0.64447,-0.76463
-0.64495,-0.76423
-0.64495,-0.76423
-0.64451,-0.7646
-0.64571,-0.76358
-0.6449,-0.76426
-0.64499,-0.76419
-0.64511,-0.76409
-0.64483,-0.76433
-0.64467,-0.76446
-0.64519,-0.76402
-0.64531,-0.76392
-0.64643,-0.76297
-0.64447,-0.76463
-0.64551,-0.76375
-0.64442,-0.76467
-0.64478,-0.76436
-0.64515,-0.76406
-0.64571,-0.76358
-0.64535,-0.76389
-0.64531,-0.76392
-0.64414,-0.7649
-0.64426,-0.7648
-0.64551,-0.76375
-0.64636,-0.76304
-0.64475,-0.7644
-0.64547,-0.76379
-0.64571,-0.76358
-0.64531,-0.76392
-0.64503,-0.76416
-0.64483,-0.76433
-0.64599,-0.76334
-0.64656,-0.76286
-0.64419,-0.76487
-0.64567,-0.76362
-0.64531,-0.76392
-0.64419,-0.76487
-0.64451,-0.7646
-0.64347,-0.76547
-0.64427,-0.7648
-0.64579,-0.76352
-0.64576,-0.76354
-0.64599,-0.76334
-0.64426,-0.7648
-0.64423,-0.76483
-0.64487,-0.76429
-0.64483,-0.76433
-0.64684,-0.76263
-0.64442,-0.76467
-0.64575,-0.76355
-0.64519,-0.76402
-0.64411,-0.76494
-0.64507,-0.76412
-0.64636,-0.76304
-0.64394,-0.76507
-0.64383,-0.76517
-0.64487,-0.76429
-0.64527,-0.76396
-0.64507,-0.76412
-0.64531,-0.76392
-0.64663,-0.7628
-0.64527,-0.76396
-0.64531,-0.76392
-0.64547,-0.76379
-0.64443,-0.76466
-0.64463,-0.7645
-0.64487,-0.76429
-0.64531,-0.76392
-0.64503,-0.76416
-0.64567,-0.76362
-0.64547,-0.76379
-0.64547,-0.76379
-0.6464,-0.763
-0.64547,-0.76379
-0.64487,-0.76429
-0.64487,-0.76429
-0.64592,-0.76341
-0.64503,-0.76416
-0.64571,-0.76358
-0.64479,-0.76436
-0.64555,-0.76371
-0.64551,-0.76375
-0.64531,-0.76392
-0.64467,-0.76446
-0.64531,-0.76392
-0.64419,-0.76487
-0.64692,-0.76256
-0.64511,-0.76409
-0.64487,-0.76429
-0.64487,-0.76429
-0.64503,-0.76416
-0.64463,-0.7645
-0.64499,-0.76419
