Sensor,Axis,Angular velocity,X,Y,Z,Temp
E33,X,0,-0.438421,0.724793,-0.986931,26.48
E33,X,0,-0.521957,0.711769,-0.912703,26.459412
E33,X,0,-0.569907,0.684915,-0.982679,26.497646
E33,X,0,-0.529242,0.684493,-0.906072,26.488823
E33,X,0,-0.618181,0.712621,-0.942078,26.485882
E33,X,0,-0.590558,0.691918,-0.976137,26.48
E33,X,0,-0.611478,0.692071,-0.948945,26.488823
E33,X,0,-0.535306,0.711931,-0.96122,26.447647
E33,X,0,-0.521833,0.711782,-0.926492,26.468235
E33,X,0,-0.556886,0.698369,-0.878941,26.488823
E33,X,0,-0.610938,0.726245,-0.962565,26.468235
E33,X,0,-0.535099,0.718776,-0.974975,26.474117
E33,X,0,-0.542921,0.677797,-0.927045,26.497646
E33,X,0,-0.514864,0.67761,-0.981685,26.465294
E33,X,0,-0.53586,0.732348,-0.871494,26.48
E33,X,0,-0.576116,0.705515,-1.030966,26.468235
E33,X,0,-0.542676,0.657349,-0.9823,26.45647
E33,X,0,-0.521733,0.684495,-0.974886,26.482941
E33,X,0,-0.528641,0.718673,-0.926587,26.471176
E33,X,0,-0.535285,0.718757,-0.954292,26.453529
E33,X,0,-0.576898,0.71226,-0.934413,26.465294
E33,X,0,-0.583275,0.698723,-1.010446,26.474117
E33,X,0,-0.556481,0.630168,-1.017163,26.459412
E33,X,0,-0.617456,0.746814,-0.976381,26.462353
E33,X,0,-0.612515,0.616902,-0.935527,26.465294
E33,X,0,-0.556805,0.684729,-0.906586,26.471176
E33,X,0,-0.555938,0.705288,-0.975427,26.474117
E33,X,0,-0.521772,0.711788,-0.933386,26.471176
E33,X,0,-0.576981,0.705428,-0.934447,26.48
E33,X,0,-0.556396,0.657473,-0.989451,26.45647
E33,X,0,-0.528541,0.691387,-0.974981,26.468235
E33,X,0,-0.549441,0.677893,-0.968539,26.471176
E33,X,0,-0.528995,0.684517,-0.933649,26.468235
E33,X,0,-0.542819,0.670983,-0.947762,26.465294
E33,X,0,-0.529719,0.650324,-0.899346,26.447647
E33,X,0,-0.514695,0.711747,-0.95394,26.474117
E33,X,0,-0.589976,0.739745,-0.975901,26.438824
E33,X,0,-0.576589,0.712291,-0.968885,26.459412
E33,X,0,-0.590684,0.671434,-0.990026,26.450588
E33,X,0,-0.618969,0.657949,-0.928559,26.468235
E33,X,0,-0.514218,0.745916,-0.960666,26.447647
E33,X,0,-0.52198,0.684471,-0.947309,26.447647
E33,X,0,-0.514156,0.745922,-0.96756,26.477058
E33,X,0,-0.542674,0.677822,-0.954622,26.468235
E33,X,0,-0.584211,0.61674,-1.017744,26.441765
E33,X,0,-0.54994,0.636899,-0.968741,26.441765
E33,X,0,-0.501142,0.697958,-0.946856,26.450588
E33,X,0,-0.604572,0.637421,-1.024922,26.444706
E33,X,0,-0.536504,0.684515,-0.864835,26.435883
E33,X,0,-0.563511,0.684807,-0.927397,26.471176
E33,X,0,-0.611582,0.678412,-0.955907,26.459412
E33,X,0,-0.500854,0.691163,-0.988255,26.447647
E33,X,0,-0.598857,0.616772,-0.921481,26.45647
E33,X,0,-0.557016,0.636939,-0.948187,26.459412
E33,X,0,-0.597632,0.712431,-0.927905,26.45647
E33,X,0,-0.570361,0.678046,-0.941347,26.45647
E33,X,0,-0.569992,0.65761,-1.010391,26.450588
E33,X,0,-0.535285,0.718757,-0.954292,26.462353
E33,X,0,-0.590678,0.732851,-0.906992,26.45647
E33,X,0,-0.52152,0.752758,-0.905607,26.465294
E33,X,0,-0.534396,0.746142,-1.016205,26.477058
E33,X,0,-0.515401,0.663908,-0.940387,26.459412
E33,X,0,-0.550454,0.650495,-0.892837,26.465294
E33,X,0,-0.508548,0.691142,-0.898759,26.450588
E33,X,0,-0.513849,0.72548,-1.029709,26.468235
E33,X,0,-0.467108,0.622556,-1.001738,26.48
E33,X,0,-0.536033,0.657265,-0.954595,26.453529
E33,X,0,-0.542256,0.732456,-0.926776,26.462353
E33,X,0,-0.51484,0.704909,-0.94708,26.471176
E33,X,0,-0.48606,0.718443,-1.0637,26.482941
E33,X,0,-0.570361,0.678046,-0.941347,26.497646
E33,X,0,-0.515217,0.643454,-0.988748,26.468235
E33,X,0,-0.549008,0.677936,-1.016799,26.485882
E33,X,0,-0.548798,0.725726,-0.975198,26.450588
E33,X,0,-0.556392,0.698418,-0.934095,26.482941
E33,X,0,-0.618287,0.67849,-0.976718,26.421177
E33,X,0,-0.549544,0.684707,-0.947823,26.468235
E33,X,0,-0.61187,0.685208,-0.914508,26.450588
E33,X,0,-0.51509,0.684412,-0.947181,26.497646
E33,X,0,-0.529016,0.677691,-0.940577,26.48
E33,X,0,-0.570026,0.725848,-0.913535,26.438824
E33,X,0,-0.521277,0.711837,-0.98854,26.462353
E33,X,0,-0.508346,0.657041,-0.967869,26.471176
E33,X,0,-0.54261,0.6983,-0.933839,26.453529
E33,X,0,-0.528997,0.664045,-0.961327,26.471176
E33,X,0,-0.563347,0.677999,-0.955007,26.435883
E33,X,0,-0.563223,0.678011,-0.968796,26.474117
E33,X,0,-0.549316,0.698378,-0.95465,26.459412
E33,X,0,-0.570052,0.678077,-0.975819,26.462353
E33,X,0,-0.549607,0.664228,-0.968606,26.471176
E33,X,0,-0.535306,0.711931,-0.96122,26.438824
E33,X,0,-0.529493,0.643523,-0.933851,26.453529
E33,X,0,-0.646452,0.644546,-0.956717,26.459412
E33,X,0,-0.527816,0.72558,-1.009284,26.45647
E33,X,0,-0.548736,0.725732,-0.982092,26.453529
E33,X,0,-0.52165,0.691328,-0.974852,26.450588
E33,X,0,-0.555603,0.75309,-0.947615,26.450588
E33,X,0,-0.59815,0.685083,-0.907357,26.459412
E33,X,0,-0.604649,0.692006,-0.941922,26.45647
E33,X,0,-0.50828,0.697993,-0.919408,26.468235
E33,X,0,-0.57067,0.678015,-0.906876,26.462353
E33,X,0,-0.52223,0.663973,-0.94741,26.477058
E33,X,0,-0.577026,0.671303,-0.975981,26.462353
E33,X,0,-0.549625,0.698347,-0.920179,26.459412
E33,X,0,-0.549957,0.671017,-0.920313,26.459412
E33,X,0,-0.507619,0.711707,-0.974494,26.459412
E33,X,0,-0.542593,0.664182,-0.982266,26.462353
E33,X,0,-0.527814,0.746052,-0.981606,26.45647
E33,X,0,-0.549812,0.677856,-0.927174,26.453529
E33,X,0,-0.521629,0.698154,-0.967924,26.462353
E33,X,0,-0.521441,0.718645,-0.960929,26.465294
E33,X,0,-0.515669,0.657057,-0.919738,26.441765
E33,X,0,-0.500939,0.663858,-1.015967,26.488823
E33,X,0,-0.550456,0.630023,-0.920515,26.444706
E33,X,0,-0.577167,0.70541,-0.913764,26.45647
E33,X,0,-0.508429,0.650209,-0.967903,26.453529
E33,X,0,-0.522046,0.643519,-0.995771,26.43
E33,X,0,-0.535161,0.718769,-0.96808,26.465294
E33,X,0,-0.535534,0.69826,-0.954393,26.453529
E33,X,0,-0.555812,0.725773,-0.961538,26.438824
E33,X,0,-0.514075,0.732282,-0.995205,26.450588
E33,X,0,-0.54942,0.684719,-0.961611,26.45647
E33,X,0,-0.578057,0.657552,-0.879529,26.462353
E33,X,0,-0.529219,0.711791,-0.871466,26.465294
E33,X,0,-0.549957,0.671017,-0.920313,26.465294
E33,X,0,-0.563159,0.69849,-0.948012,26.45647
E33,X,0,-0.563304,0.691651,-0.941152,26.45647
E33,X,0,-0.480325,0.70462,-0.953332,26.421177
E33,X,0,-0.500893,0.718456,-0.946755,26.459412
E33,X,0,-0.555669,0.712139,-0.996076,26.453529
E33,X,0,-0.528415,0.711872,-0.961091,26.459412
E33,X,0,-0.535849,0.636811,-1.002955,26.474117
E33,X,0,-0.597613,0.698785,-0.948655,26.462353
E33,X,0,-0.54884,0.712074,-0.989053,26.459412
E33,X,0,-0.569741,0.69858,-0.982612,26.482941
E33,X,0,-0.624782,0.726357,-0.955928,26.444706
E33,X,0,-0.584366,0.705438,-0.879422,26.465294
E33,X,0,-0.576858,0.70544,-0.948236,26.432941
E33,X,0,-0.55668,0.705214,-0.892696,26.432941
E33,X,0,-0.536173,0.691372,-0.892378,26.471176
E33,X,0,-0.542033,0.705182,-0.988959,26.432941
E33,X,0,-0.521113,0.70503,-1.01615,26.450588
E33,X,0,-0.535453,0.68462,-0.982037,26.450588
E33,X,0,-0.535432,0.691446,-0.975109,26.444706
E33,X,0,-0.522931,0.657079,-0.878501,26.45647
E33,X,0,-0.529057,0.684511,-0.926755,26.459412
E33,X,0,-0.521501,0.739111,-0.926357,26.462353
E33,X,0,-0.556703,0.677915,-0.927302,26.471176
E33,X,0,-0.590993,0.671403,-0.955555,26.465294
E33,X,0,-0.521774,0.691315,-0.961064,26.43
E33,X,0,-0.562703,0.725832,-0.961666,26.459412
E33,X,0,-0.529472,0.650349,-0.926923,26.447647
E33,X,0,-0.542548,0.698307,-0.940733,26.438824
E33,X,0,-0.536239,0.650421,-0.94084,26.441765
E33,X,0,-0.563408,0.677993,-0.948113,26.447647
E33,X,0,-0.52914,0.677679,-0.926788,26.424118
E33,X,0,-0.625012,0.692214,-0.976779,26.45647
E33,X,0,-0.494394,0.711533,-0.91219,26.444706
E33,X,0,-0.555002,0.787271,-0.968129,26.471176
E33,X,0,-0.521524,0.711813,-0.960963,26.421177
E33,X,0,-0.49452,0.691048,-0.926079,26.438824
E33,X,0,-0.569745,0.657635,-1.037968,26.447647
E33,X,0,-0.542335,0.766569,-0.871454,26.459412
E33,X,0,-0.549812,0.677856,-0.927174,26.459412
E33,X,0,-0.549584,0.691527,-0.934001,26.465294
E33,X,0,-0.563615,0.671148,-0.934358,26.471176
E33,X,0,-0.528149,0.69825,-1.009418,26.427059
E33,X,0,-0.549688,0.677868,-0.940962,26.444706
E33,X,0,-0.535724,0.657296,-0.989066,26.462353
E33,X,0,-0.570566,0.691673,-0.899915,26.444706
E33,X,0,-0.577499,0.67808,-0.913899,26.474117
E33,X,0,-0.549482,0.684713,-0.954717,26.441765
E33,X,0,-0.500707,0.718474,-0.967438,26.462353
E33,X,0,-0.528641,0.718673,-0.926587,26.441765
E33,X,0,-0.487215,0.704679,-0.95346,26.438824
E33,X,0,-0.611335,0.678437,-0.983483,26.453529
E33,X,0,-0.5428,0.657337,-0.968512,26.453529
E33,X,0,-0.577439,0.657614,-0.948471,26.424118
E33,X,0,-0.528562,0.684561,-0.981909,26.45647
E33,X,0,-0.52233,0.69126,-0.899016,26.465294
E33,X,0,-0.563511,0.684807,-0.927397,26.444706
E33,X,0,-0.618079,0.705807,-0.962795,26.477058
E33,X,0,-0.516187,0.629709,-0.89919,26.459412
E33,X,0,-0.540916,0.746239,-1.057699,26.453529
E33,X,0,-0.632378,0.678577,-0.942503,26.459412
E33,X,0,-0.535101,0.698303,-1.002652,26.432941
E33,X,0,-0.563059,0.671204,-0.996406,26.441765
E33,X,0,-0.52252,0.650296,-0.933689,26.462353
E33,X,0,-0.590763,0.705546,-0.934704,26.462353
E33,X,0,-0.576962,0.691782,-0.955197,26.48
E33,X,0,-0.563119,0.69167,-0.961834,26.453529
E33,X,0,-0.556123,0.705269,-0.954744,26.45647
E33,X,0,-0.541532,0.766649,-0.961079,26.45647
E33,X,0,-0.536651,0.657203,-0.885653,26.450588
E33,X,0,-0.590477,0.678278,-1.003781,26.45647
E33,X,0,-0.618927,0.671602,-0.914703,26.444706
E33,X,0,-0.570962,0.643865,-0.920833,26.444706
E33,X,0,-0.590432,0.712403,-0.962247,26.471176
E33,X,0,-0.569864,0.698568,-0.968823,26.441765
E33,X,0,-0.556164,0.712089,-0.940922,26.453529
E33,X,0,-0.591014,0.664576,-0.962483,26.43
E33,X,0,-0.569969,0.684909,-0.975785,26.45647
E33,X,0,-0.543151,0.643653,-0.947896,26.453529
E33,X,0,-0.570197,0.671238,-0.968958,26.441765
E33,X,0,-0.549957,0.671017,-0.920313,26.450588
E33,X,0,-0.555196,0.705362,-1.058158,26.444706
E33,X,0,-0.515211,0.704872,-0.905714,26.447647
E33,X,0,-0.542697,0.650523,-0.989228,26.468235
E33,X,0,-0.514156,0.745922,-0.96756,26.435883
E33,X,0,-0.56411,0.671098,-0.879204,26.462353
E33,X,0,-0.556664,0.650622,-0.968802,26.450588
E33,X,0,-0.570031,0.684903,-0.968891,26.447647
E33,X,0,-0.590535,0.719217,-0.941531,26.444706
E33,X,0,-0.555648,0.718965,-0.989148,26.447647
E33,X,0,-0.563012,0.725801,-0.927195,26.444706
E33,X,0,-0.52136,0.705005,-0.988573,26.465294
E33,X,0,-0.598007,0.671449,-0.941895,26.444706
E33,X,0,-0.584143,0.678164,-0.941604,26.485882
E33,X,0,-0.535557,0.670961,-0.988999,26.468235
E33,X,0,-0.549605,0.684701,-0.940929,26.45647
E33,X,0,-0.46617,0.725011,-0.966762,26.450588
E33,X,0,-0.563636,0.664322,-0.941286,26.447647
E33,X,0,-0.514384,0.732251,-0.960733,26.447647
E33,X,0,-0.570527,0.664381,-0.941415,26.453529
E33,X,0,-0.549298,0.664259,-1.003078,26.424118
E33,X,0,-0.584104,0.650871,-0.983104,26.432941
E33,X,0,-0.48016,0.697812,-0.980942,26.43
E33,X,0,-0.535783,0.677763,-0.954494,26.435883
E33,X,0,-0.500935,0.704803,-0.960611,26.453529
E33,X,0,-0.522147,0.670806,-0.947376,26.45647
E33,X,0,-0.501973,0.629634,-0.947193,26.438824
E33,X,0,-0.556722,0.691561,-0.906552,26.406471
E33,X,0,-0.507992,0.691197,-0.960807,26.418236
E33,X,0,-0.542527,0.705133,-0.933805,26.427059
E33,X,0,-0.529491,0.663995,-0.906173,26.432941
E33,X,0,-0.555669,0.712139,-0.996076,26.409412
E33,X,0,-0.589853,0.739758,-0.989689,26.424118
E33,X,0,-0.50118,0.725251,-0.905356,26.412354
E33,X,0,-0.550743,0.636818,-0.879116,26.412354
E33,X,0,-0.577211,0.671285,-0.955298,26.424118
E33,X,0,-0.528813,0.643591,-1.009687,26.427059
E33,X,0,-0.577953,0.67121,-0.872567,26.43
E33,X,0,-0.507971,0.698024,-0.953879,26.412354
E33,X,0,-0.474448,0.65669,-0.905179,26.441765
E33,X,0,-0.563223,0.678011,-0.968796,26.406471
E33,X,0,-0.486902,0.745655,-0.932576,26.427059
E33,X,0,-0.556373,0.684772,-0.954845,26.432941
E33,X,0,-0.56966,0.68494,-1.010256,26.409412
E33,X,0,-0.570361,0.678046,-0.941347,26.415295
E33,X,0,-0.52113,0.739149,-0.967722,26.415295
E33,X,0,-0.563432,0.650694,-0.982719,26.421177
E33,X,0,-0.515607,0.657063,-0.926633,26.444706
E33,X,0,-0.583503,0.685052,-1.003619,26.424118
E33,X,0,-0.522601,0.663936,-0.906045,26.453529
E33,X,0,-0.529724,0.609379,-0.954702,26.435883
E33,X,0,-0.555895,0.71894,-0.961571,26.421177
E33,X,0,-0.522004,0.657172,-0.981915,26.432941
E33,X,0,-0.549767,0.711981,-0.88564,26.459412
E33,X,0,-0.50874,0.629706,-0.96111,26.412354
E33,X,0,-0.528377,0.684579,-1.002591,26.441765
E33,X,0,-0.562496,0.732677,-0.975421,26.435883
E33,X,0,-0.527714,0.718766,-1.03,26.438824
E33,X,0,-0.487239,0.67738,-0.988066,26.435883
E33,X,0,-0.488002,0.67048,-0.912263,26.427059
E33,X,0,-0.535988,0.69139,-0.913061,26.444706
E33,X,0,-0.596888,0.732978,-0.982957,26.421177
E33,X,0,-0.611354,0.692083,-0.962733,26.438824
E33,X,0,-0.536429,0.609457,-0.975513,26.441765
E33,X,0,-0.542938,0.711916,-0.878617,26.424118
E33,X,0,-0.535683,0.650476,-1.002888,26.43
E33,X,0,-0.501643,0.636491,-0.974736,26.441765
E33,X,0,-0.597632,0.712431,-0.927905,26.43
E33,X,0,-0.521505,0.698166,-0.981713,26.441765
E33,X,0,-0.527546,0.752903,-1.002255,26.415295
E33,X,0,-0.562993,0.712155,-0.947945,26.453529
E33,X,0,-0.590741,0.712372,-0.927776,26.427059
E33,X,0,-0.557447,0.657368,-0.872249,26.394707
E33,X,0,-0.569779,0.725873,-0.941112,26.43
E33,X,0,-0.577733,0.602991,-0.990106,26.418236
E33,X,0,-0.494006,0.677451,-1.001983,26.438824
