Sensor,Axis,Angular velocity,X,Y,Z,Temp
EXT,X,0,-0.549316,-0.1297,-1.12915,25.344706
EXT,X,0,-0.549316,-0.083923,-1.12915,25.306471
EXT,X,0,-0.549316,-0.091553,-1.235962,25.318235
EXT,X,0,-0.549316,-0.045776,-1.197815,25.321177
EXT,X,0,-0.549316,-0.045776,-1.167297,25.321177
EXT,X,0,-0.549316,-0.099182,-1.228333,25.350588
EXT,X,0,-0.549316,-0.068665,-1.182556,25.341764
EXT,X,0,-0.549316,-0.12207,-1.220703,25.359411
EXT,X,0,-0.556946,-0.099182,-1.144409,25.344706
EXT,X,0,-0.556946,-0.068665,-1.243591,25.368235
EXT,X,0,-0.556946,-0.068665,-1.174927,25.374117
EXT,X,0,-0.556946,-0.076294,-1.152039,25.35647
EXT,X,0,-0.556946,-0.038147,-1.182556,25.335882
EXT,X,0,-0.556946,-0.106812,-1.174927,25.347647
EXT,X,0,-0.556946,-0.091553,-1.197815,25.362352
EXT,X,0,-0.556946,-0.099182,-1.228333,25.368235
EXT,X,0,-0.556946,-0.083923,-1.12915,25.335882
EXT,X,0,-0.556946,-0.12207,-1.167297,25.350588
EXT,X,0,-0.556946,-0.1297,-1.167297,25.327059
EXT,X,0,-0.556946,-0.137329,-1.228333,25.38294
EXT,X,0,-0.556946,0.0,-1.190186,25.33
EXT,X,0,-0.556946,-0.038147,-1.159668,25.368235
EXT,X,0,-0.556946,-0.068665,-1.174927,25.344706
EXT,X,0,-0.556946,-0.045776,-1.159668,25.368235
EXT,X,0,-0.556946,-0.114441,-1.152039,25.374117
EXT,X,0,-0.556946,-0.099182,-1.12915,25.344706
EXT,X,0,-0.556946,-0.038147,-1.13678,25.321177
EXT,X,0,-0.556946,-0.091553,-1.197815,25.341764
EXT,X,0,-0.556946,-0.083923,-1.167297,25.350588
EXT,X,0,-0.556946,-0.099182,-1.190186,25.344706
EXT,X,0,-0.556946,-0.083923,-1.13678,25.338823
EXT,X,0,-0.556946,-0.137329,-1.174927,25.35647
EXT,X,0,-0.556946,-0.068665,-1.152039,25.374117
EXT,X,0,-0.556946,-0.038147,-1.235962,25.341764
EXT,X,0,-0.556946,-0.12207,-1.228333,25.344706
EXT,X,0,-0.556946,-0.106812,-1.182556,25.347647
EXT,X,0,-0.556946,-0.1297,-1.251221,25.332941
EXT,X,0,-0.556946,-0.007629,-1.12915,25.324118
EXT,X,0,-0.556946,-0.099182,-1.197815,25.315294
EXT,X,0,-0.556946,-0.068665,-1.197815,25.341764
EXT,X,0,-0.556946,-0.045776,-1.190186,25.341764
EXT,X,0,-0.556946,-0.045776,-1.190186,25.332941
EXT,X,0,-0.556946,-0.152588,-1.235962,25.327059
EXT,X,0,-0.556946,-0.091553,-1.197815,25.332941
EXT,X,0,-0.556946,-0.152588,-1.174927,25.350588
EXT,X,0,-0.556946,-0.114441,-1.13678,25.338823
EXT,X,0,-0.556946,-0.144958,-1.213074,25.359411
EXT,X,0,-0.556946,-0.167847,-1.167297,25.312353
EXT,X,0,-0.556946,-0.045776,-1.159668,25.318235
EXT,X,0,-0.556946,-0.099182,-1.12915,25.327059
EXT,X,0,-0.556946,-0.183105,-1.167297,25.335882
EXT,X,0,-0.556946,-0.068665,-1.213074,25.324118
EXT,X,0,-0.556946,-0.022888,-1.197815,25.35647
EXT,X,0,-0.556946,-0.114441,-1.274109,25.371176
EXT,X,0,-0.556946,-0.068665,-1.25885,25.327059
EXT,X,0,-0.556946,-0.068665,-1.251221,25.327059
EXT,X,0,-0.556946,-0.091553,-1.190186,25.335882
EXT,X,0,-0.556946,-0.106812,-1.289368,25.341764
EXT,X,0,-0.556946,-0.061035,-1.190186,25.335882
EXT,X,0,-0.564575,-0.099182,-1.159668,25.335882
EXT,X,0,-0.564575,-0.083923,-1.174927,25.324118
EXT,X,0,-0.564575,-0.061035,-1.13678,25.350588
EXT,X,0,-0.564575,-0.160217,-1.174927,25.350588
EXT,X,0,-0.564575,-0.083923,-1.190186,25.35647
EXT,X,0,-0.564575,-0.076294,-1.159668,25.347647
EXT,X,0,-0.564575,-0.061035,-1.152039,25.368235
EXT,X,0,-0.564575,-0.144958,-1.152039,25.33
EXT,X,0,-0.564575,-0.152588,-1.190186,25.344706
EXT,X,0,-0.564575,-0.083923,-1.190186,25.377058
EXT,X,0,-0.564575,-0.114441,-1.205444,25.368235
EXT,X,0,-0.564575,-0.106812,-1.190186,25.368235
EXT,X,0,-0.564575,-0.053406,-1.205444,25.341764
EXT,X,0,-0.564575,-0.061035,-1.167297,25.350588
EXT,X,0,-0.564575,-0.12207,-1.220703,25.344706
EXT,X,0,-0.564575,-0.068665,-1.197815,25.341764
EXT,X,0,-0.564575,-0.106812,-1.182556,25.338823
EXT,X,0,-0.564575,-0.068665,-1.190186,25.335882
EXT,X,0,-0.564575,-0.106812,-1.243591,25.374117
EXT,X,0,-0.564575,-0.106812,-1.182556,25.374117
EXT,X,0,-0.564575,-0.076294,-1.220703,25.365294
EXT,X,0,-0.564575,-0.068665,-1.152039,25.309412
EXT,X,0,-0.564575,-0.053406,-1.190186,25.341764
EXT,X,0,-0.564575,-0.106812,-1.205444,25.315294
EXT,X,0,-0.564575,-0.068665,-1.152039,25.318235
EXT,X,0,-0.564575,-0.045776,-1.235962,25.297647
EXT,X,0,-0.564575,-0.099182,-1.197815,25.344706
