X0 b'E33: x = -0.562748, y = 0.691707, z = -1.003200, temp = 26.491764\r\n'
X0 b'E33: x = -0.460290, y = 0.718027, z = -0.863254, temp = 26.494705\r\n'
X0 b'E33: x = -0.555874, y = 0.725767, z = -0.954643, temp = 26.494705\r\n'
X0 b'E33: x = -0.618763, y = 0.664794, z = -0.942314, temp = 26.488823\r\n'
X0 b'E33: x = -0.549439, y = 0.698366, z = -0.940861, temp = 26.474117\r\n'
X0 b'E33: x = -0.543688, y = 0.629951, z = -0.906598, temp = 26.491764\r\n'
X0 b'E33: x = -0.495121, y = 0.656868, z = -0.905565, temp = 26.488823\r\n'
X0 b'E33: x = -0.528539, y = 0.711859, z = -0.947303, temp = 26.485882\r\n'
X0 b'E33: x = -0.542981, y = 0.698263, z = -0.892473, temp = 26.491764\r\n'
X0 b'E33: x = -0.501204, y = 0.697952, z = -0.939962, temp = 26.465294\r\n'
X0 b'E33: x = -0.473660, y = 0.711362, z = -0.918698, temp = 26.500587\r\n'
X0 b'E33: x = -0.494605, y = 0.663743, z = -0.953790, temp = 26.494705\r\n'
X0 b'E33: x = -0.570467, y = 0.643914, z = -0.975987, temp = 26.471176\r\n'
X0 b'E33: x = -0.626419, y = 0.637480, z = -0.894317, temp = 26.459412\r\n'
X0 b'E33: x = -0.543175, y = 0.616355, z = -0.982502, temp = 26.497646\r\n'
X0 b'E33: x = -0.638566, y = 0.706003, z = -0.983863, temp = 26.468235\r\n'
X0 b'E33: x = -0.646946, y = 0.644496, z = -0.901563, temp = 26.480000\r\n'
X0 b'E33: x = -0.501082, y = 0.677492, z = -0.981429, temp = 26.494705\r\n'
X0 b'E33: x = -0.611437, y = 0.685251, z = -0.962767, temp = 26.503529\r\n'
X0 b'E33: x = -0.515026, y = 0.704890, z = -0.926397, temp = 26.468235\r\n'
X0 b'E33: x = -0.494064, y = 0.718390, z = -0.939733, temp = 26.491764\r\n'
X0 b'E33: x = -0.529078, y = 0.677685, z = -0.933683, temp = 26.477058\r\n'
X0 b'E33: x = -0.605085, y = 0.651017, z = -0.949019, temp = 26.465294\r\n'
X0 b'E33: x = -0.521420, y = 0.725471, z = -0.954001, temp = 26.477058\r\n'
X0 b'E33: x = -0.583750, y = 0.685027, z = -0.976042, temp = 26.474117\r\n'
X0 b'E33: x = -0.522726, y = 0.643451, z = -0.919934, temp = 26.500587\r\n'
X0 b'E33: x = -0.500726, y = 0.732120, z = -0.946688, temp = 26.491764\r\n'
X0 b'E33: x = -0.584473, y = 0.671307, z = -0.914061, temp = 26.480000\r\n'
X0 b'E33: x = -0.535428, y = 0.732391, z = -0.919753, temp = 26.482941\r\n'
X0 b'E33: x = -0.542734, y = 0.698288, z = -0.920050, temp = 26.497646\r\n'
X0 b'E33: x = -0.550187, y = 0.636874, z = -0.941164, temp = 26.482941\r\n'
X0 b'E33: x = -0.535366, y = 0.732397, z = -0.926648, temp = 26.477058\r\n'
X0 b'E33: x = -0.570344, y = 0.643927, z = -0.989775, temp = 26.480000\r\n'
X0 b'E33: x = -0.570566, y = 0.691673, z = -0.899915, temp = 26.491764\r\n'
X0 b'E33: x = -0.576772, y = 0.732745, z = -0.920524, temp = 26.468235\r\n'
X0 b'E33: x = -0.583623, y = 0.725984, z = -0.934475, temp = 26.465294\r\n'
X0 b'E33: x = -0.591242, y = 0.650905, z = -0.955656, temp = 26.474117\r\n'
X0 b'E33: x = -0.584976, y = 0.589367, z = -0.969619, temp = 26.491764\r\n'
X0 b'E33: x = -0.632710, y = 0.651247, z = -0.942638, temp = 26.494705\r\n'
X0 b'E33: x = -0.582836, y = 0.760184, z = -0.975672, temp = 26.482941\r\n'
X0 b'E33: x = -0.438421, y = 0.724793, z = -0.986931, temp = 26.480000\r\n'
X0 b'E33: x = -0.521957, y = 0.711769, z = -0.912703, temp = 26.459412\r\n'
X0 b'E33: x = -0.569907, y = 0.684915, z = -0.982679, temp = 26.497646\r\n'
X0 b'E33: x = -0.529242, y = 0.684493, z = -0.906072, temp = 26.488823\r\n'
X0 b'E33: x = -0.618181, y = 0.712621, z = -0.942078, temp = 26.485882\r\n'
X0 b'E33: x = -0.590558, y = 0.691918, z = -0.976137, temp = 26.480000\r\n'
X0 b'E33: x = -0.611478, y = 0.692071, z = -0.948945, temp = 26.488823\r\n'
X0 b'E33: x = -0.535306, y = 0.711931, z = -0.961220, temp = 26.447647\r\n'
X0 b'E33: x = -0.521833, y = 0.711782, z = -0.926492, temp = 26.468235\r\n'
X0 b'E33: x = -0.556886, y = 0.698369, z = -0.878941, temp = 26.488823\r\n'
X0 b'E33: x = -0.610938, y = 0.726245, z = -0.962565, temp = 26.468235\r\n'
X0 b'E33: x = -0.535099, y = 0.718776, z = -0.974975, temp = 26.474117\r\n'
X0 b'E33: x = -0.542921, y = 0.677797, z = -0.927045, temp = 26.497646\r\n'
X0 b'E33: x = -0.514864, y = 0.677610, z = -0.981685, temp = 26.465294\r\n'
X0 b'E33: x = -0.535860, y = 0.732348, z = -0.871494, temp = 26.480000\r\n'
X0 b'E33: x = -0.576116, y = 0.705515, z = -1.030966, temp = 26.468235\r\n'
X0 b'E33: x = -0.542676, y = 0.657349, z = -0.982300, temp = 26.456470\r\n'
X0 b'E33: x = -0.521733, y = 0.684495, z = -0.974886, temp = 26.482941\r\n'
X0 b'E33: x = -0.528641, y = 0.718673, z = -0.926587, temp = 26.471176\r\n'
X0 b'E33: x = -0.535285, y = 0.718757, z = -0.954292, temp = 26.453529\r\n'
X0 b'E33: x = -0.576898, y = 0.712260, z = -0.934413, temp = 26.465294\r\n'
X0 b'E33: x = -0.583275, y = 0.698723, z = -1.010446, temp = 26.474117\r\n'
X0 b'E33: x = -0.556481, y = 0.630168, z = -1.017163, temp = 26.459412\r\n'
X0 b'E33: x = -0.617456, y = 0.746814, z = -0.976381, temp = 26.462353\r\n'
X0 b'E33: x = -0.612515, y = 0.616902, z = -0.935527, temp = 26.465294\r\n'
X0 b'E33: x = -0.556805, y = 0.684729, z = -0.906586, temp = 26.471176\r\n'
X0 b'E33: x = -0.555938, y = 0.705288, z = -0.975427, temp = 26.474117\r\n'
X0 b'E33: x = -0.521772, y = 0.711788, z = -0.933386, temp = 26.471176\r\n'
X0 b'E33: x = -0.576981, y = 0.705428, z = -0.934447, temp = 26.480000\r\n'
X0 b'E33: x = -0.556396, y = 0.657473, z = -0.989451, temp = 26.456470\r\n'
X0 b'E33: x = -0.528541, y = 0.691387, z = -0.974981, temp = 26.468235\r\n'
X0 b'E33: x = -0.549441, y = 0.677893, z = -0.968539, temp = 26.471176\r\n'
X0 b'E33: x = -0.528995, y = 0.684517, z = -0.933649, temp = 26.468235\r\n'
X0 b'E33: x = -0.542819, y = 0.670983, z = -0.947762, temp = 26.465294\r\n'
X0 b'E33: x = -0.529719, y = 0.650324, z = -0.899346, temp = 26.447647\r\n'
X0 b'E33: x = -0.514695, y = 0.711747, z = -0.953940, temp = 26.474117\r\n'
X0 b'E33: x = -0.589976, y = 0.739745, z = -0.975901, temp = 26.438824\r\n'
X0 b'E33: x = -0.576589, y = 0.712291, z = -0.968885, temp = 26.459412\r\n'
X0 b'E33: x = -0.590684, y = 0.671434, z = -0.990026, temp = 26.450588\r\n'
X0 b'E33: x = -0.618969, y = 0.657949, z = -0.928559, temp = 26.468235\r\n'
X0 b'E33: x = -0.514218, y = 0.745916, z = -0.960666, temp = 26.447647\r\n'
X0 b'E33: x = -0.521980, y = 0.684471, z = -0.947309, temp = 26.447647\r\n'
X0 b'E33: x = -0.514156, y = 0.745922, z = -0.967560, temp = 26.477058\r\n'
X0 b'E33: x = -0.542674, y = 0.677822, z = -0.954622, temp = 26.468235\r\n'
X0 b'E33: x = -0.584211, y = 0.616740, z = -1.017744, temp = 26.441765\r\n'
X0 b'E33: x = -0.549940, y = 0.636899, z = -0.968741, temp = 26.441765\r\n'
X0 b'E33: x = -0.501142, y = 0.697958, z = -0.946856, temp = 26.450588\r\n'
X0 b'E33: x = -0.604572, y = 0.637421, z = -1.024922, temp = 26.444706\r\n'
X0 b'E33: x = -0.536504, y = 0.684515, z = -0.864835, temp = 26.435883\r\n'
X0 b'E33: x = -0.563511, y = 0.684807, z = -0.927397, temp = 26.471176\r\n'
X0 b'E33: x = -0.611582, y = 0.678412, z = -0.955907, temp = 26.459412\r\n'
X0 b'E33: x = -0.500854, y = 0.691163, z = -0.988255, temp = 26.447647\r\n'
X0 b'E33: x = -0.598857, y = 0.616772, z = -0.921481, temp = 26.456470\r\n'
X0 b'E33: x = -0.557016, y = 0.636939, z = -0.948187, temp = 26.459412\r\n'
