mx,my,mz
-84.615387,-806.410278,-182.051285
-91.025642,-811.538513,-184.615387
-79.487183,-803.846191,-176.92308
-94.871796,-805.128235,-182.051285
-93.589745,-802.564148,-184.615387
-89.743591,-803.846191,-183.333344
-85.897438,-801.282104,-180.769241
-92.307693,-805.128235,-182.051285
-89.743591,-806.410278,-183.333344
-84.615387,-806.410278,-175.641037
-87.179489,-807.692322,-180.769241
-84.615387,-798.717957,-187.179489
-94.871796,-802.564148,-179.487183
-83.333336,-802.564148,-184.615387
-85.897438,-811.538513,-184.615387
-80.769234,-802.564148,-178.205139
-87.179489,-801.282104,-187.179489
-80.769234,-805.128235,-182.051285
-88.46154,-802.564148,-188.461548
-75.641029,-805.128235,-180.769241
-79.487183,-801.282104,-185.897446
-85.897438,-807.692322,-182.051285
-82.051285,-800.0,-185.897446
-84.615387,-808.974365,-178.205139
-78.205132,-803.846191,-180.769241
-93.589745,-811.538513,-179.487183
-85.897438,-805.128235,-187.179489
-88.46154,-810.256409,-183.333344
-83.333336,-802.564148,-183.333344
-92.307693,-806.410278,-178.205139
-82.051285,-800.0,-179.487183
-93.589745,-806.410278,-178.205139
-98.717949,-811.538513,-182.051285
-83.333336,-798.717957,-183.333344
-82.051285,-807.692322,-183.333344
-88.46154,-802.564148,-183.333344
-88.46154,-807.692322,-182.051285
-79.487183,-808.974365,-178.205139
-88.46154,-805.128235,-185.897446
-75.641029,-797.435913,-182.051285
-84.615387,-802.564148,-185.897446
-89.743591,-802.564148,-180.769241
-88.46154,-807.692322,-184.615387
-75.641029,-803.846191,-182.051285
-83.333336,-800.0,-180.769241
-87.179489,-805.128235,-173.076935
-85.897438,-807.692322,-183.333344
-88.46154,-806.410278,-183.333344
-78.205132,-805.128235,-185.897446
-94.871796,-802.564148,-182.051285
-80.769234,-797.435913,-188.461548
-85.897438,-810.256409,-180.769241
-84.615387,-807.692322,-180.769241
-93.589745,-806.410278,-185.897446
-78.205132,-802.564148,-182.051285
-89.743591,-800.0,-189.743591
-91.025642,-806.410278,-178.205139
-84.615387,-802.564148,-184.615387
-83.333336,-806.410278,-179.487183
-93.589745,-801.282104,-188.461548
-87.179489,-815.384644,-182.051285
-76.92308,-803.846191,-180.769241
-91.025642,-807.692322,-183.333344
-85.897438,-800.0,-182.051285
-91.025642,-805.128235,-183.333344
-82.051285,-801.282104,-185.897446
-88.46154,-808.974365,-184.615387
-79.487183,-803.846191,-180.769241
-93.589745,-803.846191,-179.487183
-71.794876,-803.846191,-191.02565
-100.0,-812.820557,-187.179489
-79.487183,-803.846191,-182.051285
-84.615387,-801.282104,-183.333344
-82.051285,-802.564148,-182.051285
-84.615387,-801.282104,-182.051285
-79.487183,-803.846191,-183.333344
-83.333336,-800.0,-183.333344
-85.897438,-811.538513,-180.769241
-83.333336,-801.282104,-184.615387
-83.333336,-805.128235,-180.769241
-83.333336,-803.846191,-184.615387
-93.589745,-800.0,-185.897446
-84.615387,-802.564148,-187.179489
-87.179489,-808.974365,-179.487183
-83.333336,-805.128235,-185.897446
-88.46154,-811.538513,-187.179489
-82.051285,-801.282104,-184.615387
-98.717949,-805.128235,-180.769241
-89.743591,-805.128235,-183.333344
-85.897438,-805.128235,-185.897446
-80.769234,-805.128235,-179.487183
-85.897438,-802.564148,-183.333344
-93.589745,-805.128235,-184.615387
-83.333336,-801.282104,-185.897446
-93.589745,-805.128235,-187.179489
-84.615387,-801.282104,-184.615387
-87.179489,-807.692322,-184.615387
-82.051285,-803.846191,-180.769241
-96.153847,-801.282104,-188.461548
-87.179489,-805.128235,-184.615387
-83.333336,-802.564148,-184.615387
-88.46154,-808.974365,-184.615387
-93.589745,-802.564148,-187.179489
-76.92308,-806.410278,-184.615387
-79.487183,-805.128235,-184.615387
-91.025642,-807.692322,-187.179489
-82.051285,-801.282104,-187.179489
-84.615387,-808.974365,-180.769241
-79.487183,-802.564148,-183.333344
-92.307693,-807.692322,-187.179489
-79.487183,-807.692322,-183.333344
-97.435898,-811.538513,-188.461548
-91.025642,-806.410278,-185.897446
-83.333336,-805.128235,-188.461548
-82.051285,-805.128235,-179.487183
-84.615387,-800.0,-183.333344
-92.307693,-805.128235,-179.487183
-82.051285,-807.692322,-185.897446
-83.333336,-806.410278,-182.051285
-82.051285,-800.0,-183.333344
-85.897438,-802.564148,-185.897446
-84.615387,-802.564148,-178.205139
-91.025642,-807.692322,-188.461548
-78.205132,-805.128235,-183.333344
-87.179489,-803.846191,-185.897446
-83.333336,-808.974365,-184.615387
-84.615387,-802.564148,-180.769241
-82.051285,-808.974365,-182.051285
-79.487183,-798.717957,-185.897446
-92.307693,-808.974365,-187.179489
-84.615387,-805.128235,-182.051285
-87.179489,-808.974365,-184.615387
-89.743591,-801.282104,-188.461548
-84.615387,-811.538513,-180.769241
