m1,m2,m3
-516.666687,3.846154,-78.205132
-528.205139,0.0,-83.333336
-519.230774,6.410256,-70.512825
-524.359009,-7.692308,-91.025642
-514.1026,0.0,-82.051285
-516.666687,-10.256411,-79.487183
-517.94873,-5.128205,-71.794876
-529.487183,-7.692308,-87.179489
-519.230774,7.692308,-71.794876
-528.205139,2.564103,-76.92308
-517.94873,3.846154,-82.051285
-529.487183,-7.692308,-83.333336
-519.230774,-6.410256,-84.615387
-519.230774,-7.692308,-84.615387
-512.820557,-6.410256,-82.051285
-530.769226,5.128205,-83.333336
-528.205139,1.282051,-80.769234
-521.794861,-8.97436,-69.230774
-533.333374,-5.128205,-79.487183
-526.923096,-5.128205,-85.897438
-520.512817,5.128205,-79.487183
-524.359009,3.846154,-67.948723
-525.641052,-7.692308,-84.615387
-528.205139,2.564103,-69.230774
-525.641052,0.0,-89.743591
-519.230774,-3.846154,-84.615387
-530.769226,6.410256,-80.769234
-519.230774,-6.410256,-83.333336
-521.794861,-7.692308,-70.512825
-528.205139,0.0,-85.897438
-520.512817,3.846154,-87.179489
-517.94873,8.97436,-71.794876
-519.230774,0.0,-84.615387
-514.1026,-5.128205,-79.487183
-523.076965,-3.846154,-79.487183
-520.512817,-2.564103,-82.051285
-519.230774,2.564103,-67.948723
-521.794861,5.128205,-74.358978
-520.512817,-10.256411,-84.615387
-528.205139,6.410256,-74.358978
-529.487183,1.282051,-84.615387
-533.333374,-6.410256,-84.615387
-528.205139,-2.564103,-89.743591
-521.794861,1.282051,-76.92308
-528.205139,5.128205,-78.205132
-521.794861,-7.692308,-73.076927
-528.205139,-1.282051,-83.333336
-514.1026,7.692308,-78.205132
-530.769226,7.692308,-82.051285
-521.794861,2.564103,-85.897438
-524.359009,0.0,-89.743591
-532.05127,2.564103,-79.487183
-528.205139,0.0,-83.333336
-515.384644,-5.128205,-80.769234
-526.923096,-1.282051,-75.641029
-519.230774,-5.128205,-84.615387
-528.205139,0.0,-73.076927
-529.487183,-3.846154,-75.641029
-523.076965,-8.97436,-89.743591
-515.384644,-3.846154,-74.358978
-530.769226,6.410256,-83.333336
-514.1026,3.846154,-79.487183
-521.794861,0.0,-67.948723
-525.641052,-10.256411,-83.333336
-526.923096,-2.564103,-80.769234
-525.641052,6.410256,-83.333336
-526.923096,10.256411,-73.076927
-525.641052,1.282051,-88.46154
-514.1026,-1.282051,-82.051285
-520.512817,8.97436,-83.333336
-524.359009,8.97436,-79.487183
