m1,m2,m3,temp
373.466675,-197.733322,51.466667,33.84375
375.066681,-199.333328,53.200001,33.84375
372.93335,-188.799988,52.266663,33.84375
374.399994,-196.399994,52.0,33.84375
372.666656,-192.133331,52.933334,33.84375
375.600006,-192.933334,51.066666,33.84375
373.866638,-199.199997,50.0,33.84375
376.133362,-202.266678,54.533333,33.84375
374.133331,-201.333328,53.466667,33.84375
372.666656,-187.066666,50.266666,33.84375
377.466675,-196.133331,53.733334,33.84375
371.866699,-190.0,50.266666,33.84375
376.533325,-194.933334,54.133335,33.84375
372.400024,-193.733337,50.0,33.84375
375.200012,-199.466675,51.866665,33.84375
373.466675,-200.266663,50.533333,33.84375
370.400024,-187.199997,52.399998,33.84375
376.399994,-199.199997,52.266663,33.84375
372.799988,-193.333344,52.533337,33.839844
375.866669,-193.333344,51.73333,33.839844
373.066681,-195.333328,53.333336,33.839844
371.199982,-196.266663,53.600002,33.839844
372.666656,-186.0,50.666664,33.84375
372.0,-186.399994,48.26667,33.84375
375.733337,-200.0,54.266666,33.84375
377.466675,-196.933319,51.333332,33.84375
371.733337,-189.06665,51.599998,33.839844
374.933319,-197.46666,52.933334,33.839844
373.066681,-197.066666,49.333336,33.84375
372.799988,-188.399994,53.866669,33.839844
371.199982,-187.199997,46.666664,33.839844
375.466644,-199.466675,56.0,33.839844
376.666687,-195.733337,52.800003,33.839844
370.0,-193.066681,52.666668,33.839844
375.200012,-199.466675,54.133335,33.839844
375.333313,-198.933334,47.733337,33.84375
371.600006,-187.46666,55.466667,33.839844
374.0,-186.266663,50.133331,33.839844
377.200012,-192.666656,48.933334,33.839844
375.066681,-192.53334,51.466667,33.839844
374.533356,-196.133331,53.733334,33.839844
373.466675,-196.266663,47.866669,33.839844
371.866699,-186.133331,49.200001,33.839844
371.06665,-188.266663,55.200001,33.839844
373.333313,-186.266663,51.599998,33.839844
370.133331,-186.133331,46.666664,33.839844
371.466675,-195.599991,55.333332,33.839844
374.533356,-194.0,53.600002,33.839844
372.666656,-194.400009,47.066666,33.84375
374.399994,-190.533325,55.466667,33.839844
376.799988,-199.599991,56.266666,33.839844
370.266693,-188.666672,48.666668,33.839844
369.599976,-191.866669,56.0,33.839844
374.666687,-192.133331,52.266663,33.839844
375.600006,-186.399994,48.26667,33.839844
370.93335,-186.53334,47.466663,33.839844
376.799988,-200.400009,54.666668,33.839844
374.533356,-198.666672,48.26667,33.839844
378.0,-196.133331,47.466663,33.839844
370.0,-192.266678,56.799999,33.839844
375.466644,-193.066681,53.333336,33.839844
373.066681,-192.800003,51.599998,33.839844
372.266663,-201.733337,55.866665,33.839844
377.866669,-202.0,55.066666,33.839844
370.133331,-187.066666,50.933334,33.839844
372.400024,-188.933334,56.666664,33.839844
378.800018,-198.666672,56.266666,33.839844
381.333344,-196.800003,46.799999,33.839844
370.93335,-194.0,58.133335,33.839844
375.600006,-195.066666,51.866665,33.839844
373.333313,-198.799988,47.466663,33.839844
373.866638,-202.0,57.600002,33.839844
374.266663,-184.400009,45.200001,33.839844
374.799988,-202.0,59.066666,33.839844
372.93335,-194.133331,56.133331,33.839844
373.466675,-193.600006,47.600002,33.839844
374.266663,-194.799988,54.933334,33.839844
374.533356,-194.133331,45.599998,33.839844
378.533325,-196.0,51.066666,33.839844
373.600006,-198.533325,48.133335,33.839844
376.799988,-200.93335,59.733334,33.839844
379.733307,-198.266663,54.666668,33.839844
376.266663,-195.733337,49.200001,33.839844
370.93335,-197.733322,46.933331,33.839844
372.266663,-202.399994,57.600002,33.839844
375.466644,-184.933334,46.133331,33.839844
374.799988,-189.333328,48.26667,33.839844
373.066681,-196.53334,55.333332,33.839844
376.0,-192.133331,47.466663,33.839844
370.133331,-194.0,47.600002,33.839844
369.333344,-188.399994,53.200001,33.839844
379.06665,-198.933334,50.0,33.839844
372.799988,-197.46666,47.199997,33.839844
374.799988,-188.533325,56.533333,33.839844
379.733307,-192.933334,52.133331,33.84375
372.93335,-190.266663,45.333332,33.84375
374.533356,-199.199997,58.666668,33.839844
377.599976,-198.399994,48.133335,33.839844
370.133331,-200.666672,51.599998,33.84375
377.466675,-201.333328,60.666664,33.839844
370.800018,-186.0,44.0,33.84375
367.200012,-192.53334,55.200001,33.839844
375.733337,-194.133331,59.599998,33.84375
379.599976,-190.533325,50.266666,33.839844
373.333313,-185.466675,44.133335,33.84375
377.200012,-200.93335,58.666668,33.84375
375.466644,-187.066666,50.799999,33.84375
371.466675,-185.599991,42.533337,33.84375
378.266663,-199.466675,60.400002,33.84375
380.800018,-195.866669,48.800003,33.84375
374.933319,-195.733337,44.400002,33.84375
373.600006,-189.599991,60.533333,33.84375
376.933319,-187.066666,50.533333,33.84375
370.266693,-201.200012,54.266666,33.84375
370.400024,-191.733337,58.666668,33.84375
376.666687,-192.266678,53.733334,33.84375
372.0,-190.533325,43.733334,33.84375
367.333344,-195.200012,54.533333,33.84375
374.266663,-191.600006,60.266666,33.84375
378.266663,-188.533325,51.866665,33.847656
371.733337,-186.133331,43.466667,33.847656
377.333344,-202.133331,60.533333,33.847656
379.199982,-194.400009,46.133331,33.847656
370.533325,-195.200012,50.799999,33.847656
377.333344,-193.866669,51.866665,33.847656
370.533325,-191.200012,44.266666,33.847656
368.133301,-186.399994,47.733337,33.847656
380.266693,-200.400009,54.133335,33.851562
377.06665,-197.733322,46.533333,33.851562
372.93335,-189.866653,60.133331,33.847656
369.599976,-194.133331,59.466667,33.851562
377.866669,-190.266663,45.733334,33.851562
372.133331,-198.0,60.266666,33.851562
377.733337,-197.600006,51.199997,33.851562
375.466644,-184.799988,45.333332,33.847656
366.0,-186.933319,46.799999,33.851562
381.466675,-199.06665,56.666664,33.851562
365.600006,-189.733337,49.066666,33.851562
377.466675,-198.799988,59.200001,33.851562
378.133301,-197.733322,47.333332,33.855469
369.599976,-198.533325,46.533333,33.851562
377.06665,-187.46666,54.933334,33.851562
374.133331,-192.53334,58.400002,33.855469
372.666656,-192.133331,44.666668,33.855469
372.799988,-194.933334,58.133335,33.855469
376.133362,-194.133331,46.133331,33.855469
368.399994,-200.533325,54.0,33.855469
377.200012,-185.466675,48.133335,33.855469
370.400024,-201.733337,56.666664,33.855469
379.866669,-200.666672,59.466667,33.859375
378.533325,-189.199997,44.266666,33.859375
367.466675,-190.400009,52.133331,33.855469
377.200012,-191.333328,60.133331,33.859375
379.466675,-187.199997,48.0,33.859375
377.333344,-196.933319,45.066666,33.859375
371.733337,-191.333328,60.133331,33.859375
376.799988,-189.333328,49.200001,33.859375
367.333344,-187.866669,43.866669,33.863281
373.600006,-194.666672,44.133335,33.859375
377.200012,-192.0,61.333332,33.863281
378.266663,-187.066666,49.200001,33.863281
368.666656,-188.266663,44.0,33.863281
368.93335,-200.533325,53.600002,33.863281
380.0,-201.866669,60.666664,33.863281
367.466675,-185.466675,43.200001,33.863281
381.06665,-200.93335,58.666668,33.863281
375.600006,-194.266663,50.133331,33.867188
368.800018,-191.066666,53.733334,33.863281
378.0,-190.666672,58.933334,33.867188
378.266663,-186.0,46.933331,33.867188
377.06665,-188.533325,49.866669,33.867188
369.599976,-187.46666,42.800003,33.867188
366.0,-193.733337,55.466667,33.867188
376.666687,-196.666656,58.26667,33.871094
375.866669,-202.800003,61.599998,33.871094
380.0,-198.933334,50.266666,33.867188
372.400024,-197.733322,44.266666,33.871094
372.266663,-202.933334,59.200001,33.871094
381.466675,-192.933334,53.066669,33.871094
374.666687,-189.866653,43.733334,33.871094
375.333313,-199.466675,60.933334,33.871094
380.0,-197.600006,49.333336,33.871094
374.133331,-185.866669,44.0,33.871094
376.266663,-200.0,62.0,33.871094
382.0,-196.133331,52.800003,33.875
363.600006,-191.866669,53.066669,33.875
366.533325,-197.066666,47.600002,33.875
374.799988,-202.0,61.599998,33.875
373.733337,-184.0,43.333336,33.875
364.933319,-187.333344,51.73333,33.875
370.800018,-194.666672,58.26667,33.878906
381.06665,-193.066681,56.666664,33.878906
