mx,my,mz,temp
221.466675,443.466675,119.866669,33.113281
226.933319,443.733337,121.599998,33.117188
217.46666,434.533356,119.466667,33.117188
228.133331,441.199982,121.599998,33.117188
225.733337,437.466675,121.066666,33.113281
227.199997,443.333313,121.066666,33.113281
219.06665,436.666687,123.333328,33.113281
230.0,439.599976,121.599998,33.113281
215.466675,442.533325,120.133331,33.117188
219.866653,437.06665,118.800003,33.117188
230.133347,439.06665,120.800003,33.117188
228.266663,439.199982,121.199997,33.117188
214.666672,437.06665,119.866669,33.117188
221.866669,434.933319,120.400002,33.113281
222.53334,438.800018,114.266663,33.117188
227.066666,439.599976,125.200005,33.113281
217.866669,437.333344,120.133331,33.113281
213.199997,438.399994,121.199997,33.117188
216.666656,438.533325,120.400002,33.113281
227.733322,436.399994,121.066666,33.117188
216.933319,436.799988,123.73333,33.117188
227.199997,436.933319,121.199997,33.117188
217.733322,436.933319,114.0,33.113281
228.399994,440.133331,124.933327,33.117188
221.600006,437.466675,123.73333,33.117188
230.133347,440.400024,121.599998,33.117188
213.333344,437.466675,119.599998,33.113281
228.933334,440.0,115.733337,33.117188
219.06665,437.733337,126.133339,33.113281
223.46666,445.066681,120.933334,33.117188
218.933334,439.733307,121.066666,33.117188
228.799988,436.799988,121.73333,33.113281
216.666656,437.06665,114.266663,33.113281
218.933334,438.399994,120.666664,33.113281
218.133331,438.533325,120.533333,33.113281
224.266663,438.0,115.733337,33.117188
220.266663,437.733337,124.666664,33.117188
222.266678,437.333344,120.666664,33.113281
221.200012,439.599976,120.400002,33.117188
222.666656,433.733337,120.933334,33.117188
222.933334,438.800018,119.599998,33.113281
218.533325,440.400024,120.133331,33.113281
229.466675,440.266693,116.933334,33.117188
222.0,436.799988,120.400002,33.113281
224.133331,440.533325,121.466667,33.117188
222.53334,438.0,115.066673,33.117188
228.133331,439.599976,127.866669,33.117188
218.133331,437.333344,119.333336,33.117188
234.400009,440.400024,122.133331,33.117188
221.200012,434.399994,120.933334,33.117188
226.0,441.466675,111.73333,33.113281
221.733337,437.466675,121.066666,33.117188
225.866669,443.333313,121.199997,33.117188
230.0,440.400024,121.866669,33.117188
224.799988,437.599976,121.466667,33.117188
218.0,439.199982,120.800003,33.117188
222.266678,439.06665,121.199997,33.113281
229.733337,440.133331,125.200005,33.113281
214.0,436.666687,120.266663,33.113281
229.199997,438.133301,122.133331,33.113281
220.400009,436.933319,121.066666,33.113281
220.666672,434.266663,120.800003,33.113281
230.800003,440.400024,121.866669,33.113281
230.666672,440.266693,121.199997,33.113281
218.0,438.133301,121.466667,33.117188
228.266663,436.799988,122.133331,33.117188
217.600006,437.06665,127.866669,33.117188
227.600006,440.266693,120.266663,33.117188
230.133347,438.399994,121.466667,33.117188
227.866669,437.333344,121.866669,33.117188
217.600006,437.06665,114.399994,33.117188
226.933319,440.266693,124.799995,33.117188
223.066681,438.533325,121.466667,33.113281
226.666656,439.866669,121.866669,33.113281
218.266663,440.533325,120.666664,33.113281
227.600006,440.266693,115.466675,33.113281
224.0,436.666687,120.666664,33.113281
225.066666,445.066681,121.466667,33.113281
216.933319,432.266663,120.533333,33.113281
228.666672,440.0,116.26667,33.113281
224.666672,437.333344,120.800003,33.113281
222.399994,434.933319,120.933334,33.113281
221.466675,437.733337,114.799995,33.113281
228.133331,440.0,126.0,33.117188
217.199997,437.466675,119.733337,33.117188
221.866669,444.0,121.066666,33.117188
220.133347,435.333313,121.066666,33.113281
227.600006,439.466675,126.666672,33.113281
218.399994,436.666687,119.199997,33.113281
220.666672,442.93335,120.800003,33.113281
223.199997,434.399994,120.533333,33.113281
224.799988,438.399994,123.333328,33.113281
219.06665,437.866669,119.866669,33.117188
217.733322,440.666656,120.266663,33.113281
228.0,440.133331,123.866661,33.113281
214.799988,436.799988,120.0,33.113281
