t1,t2,t3,t4
23.098036,22.503347,22.856972,22.53549
23.114096,22.503347,22.873045,22.53549
23.098036,22.503347,22.873045,22.53549
23.098036,22.503347,22.873045,22.53549
23.114096,22.519424,22.873045,22.551567
23.114096,22.503347,22.889109,22.551567
23.114096,22.519424,22.873045,22.551567
23.114096,22.53549,22.873045,22.551567
23.114096,22.53549,22.873045,22.551567
23.114096,22.53549,22.889109,22.551567
23.130167,22.551567,22.889109,22.567644
23.114096,22.551567,22.889109,22.567644
23.114096,22.551567,22.889109,22.583719
23.130167,22.551567,22.889109,22.583719
23.130167,22.551567,22.889109,22.583719
23.130167,22.551567,22.889109,22.583719
23.130167,22.551567,22.889109,22.599796
23.114096,22.567644,22.889109,22.599796
23.130167,22.567644,22.889109,22.615871
23.130167,22.583719,22.889109,22.615871
23.146236,22.583719,22.889109,22.599796
23.130167,22.583719,22.905182,22.615871
23.146236,22.583719,22.905182,22.615871
23.130167,22.599796,22.905182,22.615871
23.146236,22.599796,22.905182,22.631948
23.146236,22.599796,22.905182,22.631948
23.146236,22.599796,22.905182,22.631948
23.146236,22.599796,22.905182,22.648014
23.146236,22.599796,22.905182,22.631948
23.146236,22.615871,22.905182,22.648014
23.146236,22.615871,22.921255,22.648014
23.146236,22.631948,22.921255,22.648014
23.146236,22.631948,22.905182,22.664089
23.146236,22.631948,22.921255,22.664089
23.146236,22.631948,22.921255,22.664089
23.162308,22.631948,22.921255,22.664089
23.146236,22.648014,22.921255,22.680164
23.146236,22.648014,22.921255,22.680164
23.162308,22.648014,22.921255,22.680164
23.162308,22.664089,22.921255,22.680164
23.162308,22.664089,22.921255,22.696239
23.162308,22.664089,22.937326,22.680164
23.162308,22.664089,22.937326,22.696239
23.162308,22.664089,22.937326,22.696239
23.162308,22.680164,22.937326,22.696239
23.162308,22.680164,22.937326,22.696239
23.162308,22.680164,22.937326,22.712315
23.162308,22.680164,22.937326,22.72839
23.178377,22.696239,22.937326,22.712315
23.162308,22.696239,22.9534,22.712315
23.162308,22.696239,22.937326,22.712315
23.178377,22.696239,22.9534,22.72839
23.178377,22.712315,22.937326,22.72839
23.178377,22.712315,22.9534,22.72839
23.178377,22.712315,22.9534,22.72839
23.178377,22.712315,22.9534,22.72839
23.178377,22.712315,22.9534,22.744465
23.178377,22.72839,22.9534,22.744465
23.178377,22.712315,22.9534,22.744465
23.178377,22.72839,22.969473,22.760529
23.178377,22.72839,22.9534,22.744465
23.178377,22.744465,22.969473,22.760529
23.194448,22.72839,22.9534,22.760529
23.194448,22.72839,22.969473,22.760529
23.194448,22.744465,22.969473,22.776604
23.194448,22.744465,22.969473,22.776604
23.194448,22.760529,22.969473,22.776604
23.194448,22.744465,22.969473,22.776604
23.194448,22.760529,22.969473,22.776604
23.194448,22.760529,22.969473,22.776604
23.194448,22.760529,22.969473,22.792677
23.194448,22.760529,22.969473,22.792677
23.194448,22.760529,22.985544,22.792677
23.194448,22.776604,22.969473,22.792677
23.194448,22.776604,22.985544,22.792677
23.194448,22.792677,22.985544,22.792677
23.194448,22.776604,22.985544,22.808752
23.194448,22.792677,22.985544,22.808752
23.194448,22.792677,23.001606,22.808752
23.210518,22.792677,22.985544,22.808752
23.210518,22.808752,22.985544,22.824825
23.210518,22.808752,22.985544,22.824825
23.210518,22.808752,22.985544,22.824825
23.226587,22.808752,22.985544,22.840899
23.194448,22.824825,22.985544,22.840899
23.210518,22.808752,22.985544,22.840899
23.210518,22.824825,23.001606,22.840899
23.210518,22.824825,23.001606,22.840899
23.226587,22.824825,23.001606,22.840899
23.226587,22.824825,22.985544,22.840899
23.226587,22.840899,23.001606,22.856972
23.210518,22.824825,23.001606,22.840899
23.226587,22.840899,23.001606,22.856972
23.226587,22.824825,23.001606,22.856972
23.226587,22.840899,23.001606,22.856972
23.226587,22.840899,23.001606,22.873045
23.226587,22.856972,23.001606,22.873045
23.226587,22.840899,23.017677,22.873045
23.226587,22.840899,23.017677,22.873045
23.226587,22.840899,23.017677,22.873045
23.226587,22.856972,23.001606,22.873045
23.226587,22.873045,23.017677,22.873045
23.226587,22.856972,23.017677,22.889109
23.242647,22.873045,23.017677,22.889109
23.226587,22.873045,23.017677,22.889109
23.242647,22.856972,23.017677,22.889109
23.226587,22.873045,23.017677,22.889109
23.226587,22.873045,23.017677,22.889109
23.242647,22.889109,23.017677,22.889109
23.242647,22.873045,23.033751,22.905182
23.242647,22.889109,23.017677,22.889109
23.242647,22.889109,23.017677,22.905182
23.242647,22.889109,23.017677,22.905182
23.242647,22.873045,23.017677,22.905182
23.242647,22.905182,23.017677,22.905182
23.242647,22.905182,23.033751,22.905182
23.242647,22.889109,23.017677,22.905182
23.242647,22.905182,23.033751,22.921255
23.242647,22.905182,23.033751,22.921255
23.258717,22.905182,23.033751,22.921255
23.242647,22.905182,23.033751,22.921255
23.258717,22.921255,23.033751,22.921255
23.258717,22.921255,23.033751,22.921255
23.258717,22.921255,23.033751,22.937326
23.242647,22.921255,23.049822,22.921255
23.258717,22.921255,23.049822,22.937326
23.242647,22.921255,23.049822,22.937326
23.258717,22.921255,23.049822,22.937326
23.258717,22.921255,23.049822,22.937326
23.258717,22.937326,23.049822,22.9534
23.258717,22.937326,23.049822,22.9534
23.258717,22.937326,23.049822,22.9534
23.258717,22.937326,23.049822,22.9534
23.258717,22.937326,23.049822,22.9534
23.274786,22.937326,23.049822,22.9534
23.258717,22.9534,23.065893,22.9534
23.258717,22.9534,23.065893,22.9534
