mx,my,mz
-102.564102,-726.923096,-224.358978
-105.128212,-730.769226,-211.538467
-110.256416,-730.769226,-217.94873
-105.128212,-734.615417,-214.10257
-103.846161,-730.769226,-224.358978
-105.128212,-728.205139,-220.512833
-100.0,-732.051331,-223.076935
-108.974365,-724.359009,-211.538467
-107.692314,-726.923096,-225.641037
-112.820518,-725.641052,-207.692322
-111.538467,-729.487183,-226.92308
-117.948723,-726.923096,-206.410263
-103.846161,-729.487183,-221.794876
-107.692314,-726.923096,-211.538467
-107.692314,-732.051331,-217.94873
-110.256416,-723.076965,-216.666672
-111.538467,-735.897461,-214.10257
-105.128212,-724.359009,-221.794876
-111.538467,-734.615417,-207.692322
-101.282051,-726.923096,-220.512833
-112.820518,-728.205139,-214.10257
-108.974365,-729.487183,-223.076935
-103.846161,-730.769226,-208.974365
-114.10257,-728.205139,-229.487183
-102.564102,-729.487183,-214.10257
-106.410263,-726.923096,-225.641037
-106.410263,-734.615417,-210.256424
-101.282051,-725.641052,-220.512833
-103.846161,-729.487183,-207.692322
-105.128212,-730.769226,-225.641037
-111.538467,-725.641052,-214.10257
-106.410263,-735.897461,-221.794876
-105.128212,-724.359009,-211.538467
-94.871796,-730.769226,-223.076935
-108.974365,-719.230774,-211.538467
-102.564102,-733.333374,-217.94873
-105.128212,-723.076965,-216.666672
-106.410263,-729.487183,-219.230774
-112.820518,-724.359009,-214.10257
-101.282051,-734.615417,-220.512833
-110.256416,-720.512817,-212.820526
-107.692314,-735.897461,-217.94873
-107.692314,-730.769226,-224.358978
-106.410263,-728.205139,-214.10257
-107.692314,-733.333374,-224.358978
-111.538467,-717.94873,-212.820526
-107.692314,-728.205139,-221.794876
-106.410263,-728.205139,-212.820526
-105.128212,-734.615417,-224.358978
-108.974365,-724.359009,-215.384628
-114.10257,-739.743591,-219.230774
-110.256416,-719.230774,-211.538467
-112.820518,-733.333374,-228.205139
-106.410263,-720.512817,-216.666672
-107.692314,-728.205139,-224.358978
-103.846161,-723.076965,-212.820526
-105.128212,-732.051331,-223.076935
-107.692314,-717.94873,-221.794876
-106.410263,-730.769226,-223.076935
