mx,my,mz,temp
204.133331,422.400024,112.133331,29.15625
198.933334,436.0,106.53334,29.152344
204.799988,426.0,103.73333,29.152344
201.733337,433.733337,112.0,29.15625
202.266678,424.799988,105.466675,29.152344
202.0,434.0,109.866669,29.15625
204.533325,427.866669,100.400002,29.152344
200.533325,433.066681,116.0,29.15625
200.133347,425.066681,104.933327,29.15625
200.800003,434.666687,112.533333,29.15625
200.666672,428.133301,100.800003,29.15625
202.933334,432.533325,117.466667,29.15625
199.866653,428.0,102.133331,29.152344
203.199997,431.600006,114.399994,29.152344
200.93335,431.06665,98.666672,29.152344
202.800003,428.133301,117.066666,29.15625
198.799988,430.533325,103.73333,29.15625
205.066666,429.06665,117.333336,29.152344
204.533325,430.266693,100.933334,29.15625
204.266663,430.133331,117.333336,29.152344
199.866653,430.133331,102.133331,29.152344
205.599991,429.06665,115.600006,29.152344
201.600006,430.0,101.466667,29.152344
204.400009,428.133301,116.800003,29.152344
198.399994,429.733307,102.399994,29.152344
208.0,429.333344,114.0,29.152344
204.799988,430.666656,102.666664,29.152344
204.0,429.733307,115.466675,29.152344
198.266663,431.466675,104.0,29.152344
202.666656,427.866669,115.333336,29.152344
200.266663,431.466675,106.400002,29.152344
204.400009,428.399994,109.466667,29.152344
197.066666,432.666656,108.933334,29.152344
205.333328,427.599976,110.266663,29.152344
193.333344,431.866699,112.266663,29.152344
203.066681,427.599976,107.866669,29.152344
196.53334,433.600006,107.333336,29.152344
203.066681,426.533325,109.733337,29.152344
201.066666,430.666656,109.466667,29.152344
204.799988,428.93335,108.800003,29.15625
201.466675,432.799988,107.733337,29.152344
199.733337,427.466675,108.400002,29.152344
199.06665,430.133331,113.333328,29.152344
206.266663,429.199982,105.600006,29.152344
201.200012,432.266663,110.933334,29.152344
200.93335,431.600006,106.133339,29.152344
202.800003,429.599976,113.333328,29.148438
199.866653,430.533325,105.333336,29.152344
203.46666,427.06665,111.599998,29.152344
199.733337,428.266663,105.466675,29.152344
204.933334,429.866669,110.533333,29.152344
203.46666,431.199982,109.733337,29.152344
200.400009,430.133331,113.066666,29.152344
202.933334,429.333344,106.800003,29.152344
201.866669,428.93335,106.400002,29.152344
203.46666,429.466675,109.333336,29.152344
201.200012,431.466675,108.0,29.148438
201.600006,430.400024,113.73333,29.148438
200.266663,432.0,107.466667,29.152344
198.666672,430.666656,113.066666,29.148438
201.200012,429.199982,103.333328,29.148438
199.599991,429.733307,114.0,29.152344
204.799988,432.266663,107.733337,29.152344
200.800003,430.133331,110.933334,29.148438
204.0,428.800018,106.133339,29.152344
203.333344,432.666656,112.799995,29.152344
202.933334,430.266693,108.933334,29.148438
201.733337,432.533325,111.73333,29.152344
202.800003,428.0,104.399994,29.148438
202.800003,432.0,111.866669,29.152344
205.466675,429.199982,107.066666,29.148438
201.733337,431.733337,109.866669,29.152344
202.666656,427.06665,107.866669,29.152344
200.666672,434.266663,111.199997,29.152344
200.133347,430.266693,109.199997,29.148438
202.933334,428.266663,108.26667,29.152344
200.800003,431.733337,110.933334,29.148438
200.133347,429.199982,107.200005,29.148438
202.399994,432.666656,112.933334,29.148438
200.133347,428.399994,105.333336,29.152344
202.800003,433.466675,110.133331,29.152344
199.199997,427.466675,107.866669,29.148438
201.733337,434.933319,110.800003,29.148438
203.46666,426.666687,107.733337,29.148438
203.199997,434.666687,110.533333,29.148438
200.666672,427.599976,108.0,29.152344
203.733337,432.533325,113.599998,29.148438
200.93335,430.266693,110.0,29.152344
200.666672,429.06665,110.266663,29.148438
203.199997,429.199982,107.333336,29.148438
203.066681,426.399994,107.733337,29.152344
200.0,432.799988,108.133331,29.148438
202.399994,427.733337,107.733337,29.148438
202.800003,428.93335,104.799995,29.148438
201.600006,418.93335,107.466667,29.148438
202.666656,434.0,108.133331,29.148438
200.133347,427.599976,111.599998,29.148438
202.266678,431.733337,104.0,29.152344
201.333328,426.0,107.866669,29.148438
202.399994,435.200012,109.599998,29.148438
