x,y,z
-465.384644,-524.359009,-561.538452
-251.282059,-689.743591,-624.359009
-210.256424,-711.538513,-610.256409
-91.025642,-889.743591,-638.461548
-488.461548,-393.589752,-406.410278
-708.974365,-207.692322,-269.230774
-1039.743652,100.0,-225.641037
-1110.25647,373.076935,-261.538483
-821.794922,-488.461548,-862.820557
-770.512817,-411.538483,-857.692322
-826.923096,-305.128204,-750.0
-762.820557,-464.10257,-837.179504
-850.0,-1021.794922,-860.256409
-1202.564087,-320.512817,-705.128235
-1251.282104,203.846161,-593.589783
-1271.794922,567.94873,-285.89743
-870.512878,551.282043,-401.282074
-993.589783,303.846161,-460.256439
-755.128235,-255.12822,-652.564148
-262.820526,-757.692322,-960.25647
-541.025635,-642.307739,-744.871826
-574.359009,-808.974365,-879.487183
-457.692322,-673.076965,-744.871826
-296.15387,-642.307739,-683.333374
-258.974365,-1037.179565,-900.0
-292.307709,-947.435913,-719.230774
-23.076923,-816.666687,-592.307739
-776.923096,-673.076965,-635.897461
630.769226,66.666672,571.794861
653.846191,475.641052,952.564148
632.051331,705.128235,971.794922
684.615417,598.717957,769.230774
162.820511,-238.461548,458.974365
165.384628,12.820513,500.000031
-48.717949,1143.589722,932.051331
-551.282043,1023.076965,776.923096
-274.358978,1085.897461,679.487183
498.717957,-23.076923,494.871826
284.615387,-1007.692322,-137.179489
291.025665,-885.897461,19.23077
421.794891,-785.897461,255.12822
-82.051285,-756.410278,-55.128208
-623.076965,-384.615387,-214.10257
421.794891,824.359009,965.384644
293.589752,1298.718018,938.461548
152.564102,614.1026,700.0
-125.641029,255.12822,696.15387
-324.358978,939.743591,785.897461
-794.871826,1034.615479,500.000031
-443.589752,276.923096,-14.102565
-351.282074,580.769226,20.512821
-253.846161,883.333374,314.10257
-242.307693,885.897461,465.384644
-453.846161,896.15387,471.794891
-684.615417,878.205139,358.974365
-1128.2052,1094.871826,355.128204
-1091.025635,994.871826,323.076935
-673.076965,641.025635,6.410256
-630.769226,392.307709,-152.564102
-1350.0,612.820557,-78.205132
-953.846191,-393.589752,-520.512817
-317.94873,-382.0513,-283.333344
-853.846191,153.846161,-173.076935
-408.974365,-669.230774,-555.128235
-260.256409,-602.564148,-42.307693
-882.051331,92.307693,-211.538467
-767.94873,-642.307739,-588.461548
103.846161,-843.589783,-105.128212
-541.025635,-417.94873,-143.589752
-1119.230835,125.641029,-446.15387
-791.025696,-653.846191,-647.435913
83.333336,-771.794922,-201.282059
-766.666687,-139.743591,-300.0
-997.435913,-347.435913,-542.307739
-3.846154,-812.820557,-319.230774
-960.25647,46.153847,-400.0
-444.871796,-678.205139,-496.15387
-121.794876,-638.461548,-275.641022
-835.897461,-83.333336,-478.205139
46.153847,-702.564148,-312.820526
-575.641052,-66.666672,-374.358978
-875.641052,-58.974361,-484.615387
396.15387,-564.1026,-187.179489
-460.256439,2.564103,-235.897446
-303.846161,162.820511,-70.512825
-497.435913,689.743591,175.641037
-508.974365,774.359009,161.538467
-229.487183,1288.461548,616.666687
-151.282059,1135.897461,667.94873
-569.230774,887.179504,366.666687
-376.923096,861.538513,312.820526
-325.641022,1096.153931,551.282043
-692.307739,602.564148,129.487183
-400.0,610.256409,60.256413
-397.435913,1028.2052,491.025665
-724.359009,679.487183,206.410263
-506.410278,878.205139,144.871796
-367.94873,1255.128296,523.076965
-747.435913,319.230774,-60.256413
-546.15387,155.128204,-238.461548
-644.871826,680.769226,133.333344
-715.384644,521.794861,191.02565
-555.128235,700.0,75.641029
-224.358978,1383.333374,724.359009
-370.512848,1114.102661,571.794861
-602.564148,891.025696,442.307709
288.461548,1061.538452,633.333374
282.0513,860.256409,487.179504
491.025665,1134.615479,598.717957
305.128204,708.974365,564.1026
279.487183,344.871796,692.307739
270.512817,788.461548,743.589783
542.307739,293.589752,782.051331
203.846161,471.794891,743.589783
378.205139,555.128235,692.307739
415.384644,-78.205132,579.487183
274.358978,178.205139,635.897461
361.538483,403.846161,643.589783
103.846161,216.666672,634.615417
-139.743591,589.743591,671.794922
123.076927,551.282043,707.692322
41.025642,388.461548,655.128235
185.897446,474.358978,664.1026
315.384613,184.615387,644.871826
221.794876,132.051285,624.359009
60.256413,479.487183,650.0
276.923096,64.10257,644.871826
188.461548,366.666687,665.384644
130.769241,523.076965,669.230774
261.538483,152.564102,637.179504
61.538464,403.846161,661.538513
179.487183,369.230774,691.025635
270.512817,-10.256411,661.538513
-87.179489,555.128235,688.461548
-55.128208,383.333344,715.384644
-321.794891,515.384644,642.307739
70.512825,521.794861,705.128235
237.179489,43.589745,684.615417
74.358978,508.974365,692.307739
102.564102,315.384613,717.94873
102.564102,379.487183,866.666687
243.589752,512.820557,902.564148
221.794876,629.487183,855.128235
61.538464,511.538483,569.230774
164.10257,589.743591,602.564148
397.435913,739.743591,730.769226
415.384644,885.897461,805.128235
552.564148,666.666687,596.15387
741.025696,439.743591,569.230774
212.820526,867.94873,732.051331
491.025665,423.076935,503.846161
502.564117,432.0513,489.743591
315.384613,717.94873,612.820557
-126.92308,853.846191,384.615387
446.15387,303.846161,352.564117
-233.333344,862.820557,366.666687
-430.769257,382.0513,235.897446
-606.410278,398.717957,274.358978
-758.974365,61.538464,202.564102
-741.025696,105.128212,228.205139
-607.692322,193.589752,-178.205139
-398.717957,932.051331,614.1026
-234.615387,998.717957,705.128235
-720.512817,642.307739,56.410259
-451.282074,1076.923096,500.000031
-243.589752,1034.615479,392.307709
-844.871826,494.871826,115.384621
-948.717957,-570.512817,-430.769257
-503.846161,510.256439,10.256411
-466.666687,32.051285,-217.94873
-312.820526,-551.282043,-415.384644
-100.0,-415.384644,-605.128235
714.1026,-1111.538452,-629.487183
1034.615479,-419.230774,5.128205
937.179504,-1000.000061,-419.230774
1061.538452,-807.692322,-224.358978
