yaw,pitch,roll,p1,p2,p3,p4
2.329211,0.0,0.0,0,0,0,0
0.22755,0.0,0.0,0,0,0,0
0.227934,0.0,0.0,0,0,0,0
1.123633,0.0,0.0,0,0,0,0
-0.099171,0.0,0.0,0,0,0,0
-1.036133,0.0,0.0,0,0,0,0
0.229123,0.0,0.0,0,0,0,0
-1.340441,0.0,0.0,0,0,0,0
-2.025365,0.0,0.0,0,0,0,0
-0.102591,0.0,0.0,0,0,0,0
-1.038091,0.0,0.0,0,0,0,0
1.121288,0.0,0.0,0,0,0,0
0.228432,0.0,0.0,0,0,0,0
-1.03663,0.0,0.0,0,0,0,0
-1.035941,0.0,0.0,0,0,0,0
-0.101131,0.0,0.0,0,0,0,0
-0.099557,0.0,0.0,0,0,0,0
2.71238,0.0,0.0,0,0,0,0
2.330399,0.0,0.0,0,0,0,0
0.22824,0.0,0.0,0,0,0,0
-0.718801,0.0,0.0,0,0,0,0
-0.102591,0.0,0.0,0,0,0,0
-1.630312,0.0,0.0,0,0,0,0
0.228624,0.0,0.0,0,0,0,0
-0.717533,0.0,0.0,0,0,0,0
0.22755,0.0,0.0,0,0,0,0
-0.716457,0.0,0.0,0,0,0,0
0.229508,0.0,0.0,0,0,0,0
1.849109,0.0,0.0,0,0,0,0
-0.384709,0.0,0.0,0,0,0,0
1.479432,0.0,0.0,0,0,0,0
-1.036518,0.0,0.0,0,0,0,0
1.476399,0.0,0.0,0,0,0,0
-2.028013,0.0,0.0,0,0,0,0
-0.718994,0.0,0.0,0,0,0,0
-1.036823,0.0,0.0,0,0,0,0
-0.102013,0.0,0.0,0,0,0,0
-2.591468,0.0,0.0,0,0,0,0
0.227357,0.0,0.0,0,0,0,0
-0.101323,0.0,0.0,0,0,0,0
1.849799,0.0,0.0,0,0,0,0
0.228047,0.0,0.0,0,0,0,0
-0.100825,0.0,0.0,0,0,0,0
-1.036709,0.0,0.0,0,0,0,0
0.22755,0.0,0.0,0,0,0,0
-0.103281,0.0,0.0,0,0,0,0
-0.102205,0.0,0.0,0,0,0,0
-0.103281,0.0,0.0,0,0,0,0
-0.102013,0.0,0.0,0,0,0,0
0.227742,0.0,0.0,0,0,0,0
1.123439,0.0,0.0,0,0,0,0
-0.101131,0.0,0.0,0,0,0,0
0.228624,0.0,0.0,0,0,0,0
1.848227,0.0,0.0,0,0,0,0
-2.314295,0.0,0.0,0,0,0,1
-0.718994,0.0,0.0,0,0,0,1
-1.038282,0.0,0.0,0,0,0,1
0.781485,0.0,0.0,0,0,0,1
1.477858,0.0,0.0,0,0,0,1
0.227934,0.0,0.0,0,0,0,1
1.478742,0.0,0.0,0,0,0,1
-0.718609,0.0,0.0,0,0,0,1
0.227357,0.0,0.0,0,0,0,1
0.22824,0.0,0.0,0,0,0,1
1.477474,0.0,0.0,0,0,0,1
-0.101019,0.0,0.0,0,0,0,1
1.122171,0.0,0.0,0,0,0,1
0.227164,0.0,0.0,0,0,0,1
-2.314985,0.0,0.0,0,0,0,1
-0.100937,0.0,0.0,0,0,0,1
0.228047,0.0,0.0,0,0,0,1
1.477474,0.0,0.0,0,0,0,1
1.849109,0.0,0.0,0,0,0,1
1.477666,0.0,0.0,0,0,0,1
0.572276,0.0,0.0,0,0,0,1
-0.719877,0.0,0.0,0,0,0,1
2.235934,0.0,0.0,0,0,0,1
1.476399,0.0,0.0,0,0,0,1
1.475901,0.0,0.0,0,0,0,1
0.225974,0.0,0.0,0,0,0,1
0.227742,0.0,0.0,0,0,0,1
-0.100053,0.0,0.0,0,0,0,1
0.574619,0.0,0.0,0,0,0,1
0.782175,0.0,0.0,0,0,0,1
0.229508,0.0,0.0,0,0,0,1
-2.314102,0.0,0.0,0,0,0,1
-0.718111,0.0,0.0,0,0,0,1
0.226972,0.0,0.0,0,0,0,1
0.934693,0.0,0.0,0,0,0,1
0.226282,0.0,0.0,0,0,0,1
0.572468,0.0,0.0,0,0,0,1
-1.037208,0.0,0.0,0,0,0,1
1.476785,0.0,0.0,0,0,0,1
0.228432,0.0,0.0,0,0,0,1
-1.035941,0.0,0.0,0,0,0,1
1.478052,0.0,0.0,0,0,0,1
0.93596,0.0,0.0,0,0,0,1
-0.101323,0.0,0.0,0,0,0,1
1.851067,0.0,0.0,0,0,0,1
-1.03525,0.0,0.0,0,0,0,1
0.226282,0.0,0.0,0,0,0,1
-0.10044,0.0,0.0,0,0,0,1
0.228929,0.0,0.0,0,0,0,1
1.477666,0.0,0.0,0,0,0,1
0.227164,0.0,0.0,0,0,0,1
1.848612,0.0,0.0,0,0,0,1
0.228624,0.0,0.0,0,0,0,1
-1.035746,0.0,0.0,0,0,0,1
0.228126,0.0,0.0,0,0,0,1
0.229702,0.0,0.0,0,0,0,1
-0.10044,0.0,0.0,0,0,0,1
0.230391,0.0,0.0,0,0,0,1
1.477666,0.0,0.0,0,0,0,1
0.229315,0.0,0.0,0,0,0,1
0.229123,0.0,0.0,0,0,0,1
0.574234,0.0,0.0,0,0,0,1
0.228432,0.0,0.0,0,0,0,1
-1.035442,0.0,0.0,0,0,0,1
1.849991,0.0,0.0,0,0,0,1
1.478549,0.0,0.0,0,0,0,1
-1.033291,0.0,0.0,0,0,0,1
-1.033291,0.0,0.0,0,0,0,2
0.231274,0.0,0.0,0,0,0,2
0.232157,0.0,0.0,0,0,0,2
0.231769,0.0,0.0,0,0,0,2
-1.337298,0.0,0.0,0,0,0,2
1.479044,0.0,0.0,0,0,0,2
1.47709,0.0,0.0,0,0,0,2
-1.034754,0.0,0.0,0,0,0,2
0.229123,0.0,0.0,0,0,0,2
-1.339558,0.0,0.0,0,0,0,2
-1.03456,0.0,0.0,0,0,0,2
0.22981,0.0,0.0,0,0,0,2
-1.034947,0.0,0.0,0,0,0,2
0.229425,0.0,0.0,0,0,0,2
-1.03514,0.0,0.0,0,0,0,2
1.120904,0.0,0.0,0,0,0,2
0.934693,0.0,0.0,0,0,0,2
0.228624,0.0,0.0,0,0,0,2
1.477666,0.0,0.0,0,0,0,2
-0.10044,0.0,0.0,0,0,0,2
0.573735,0.0,0.0,0,0,0,2
1.851949,0.0,0.0,0,0,0,2
1.477282,0.0,0.0,0,0,0,2
1.121787,0.0,0.0,0,0,0,2
-1.33975,0.0,0.0,0,0,0,2
-0.101403,0.0,0.0,0,0,0,2
1.120713,0.0,0.0,0,0,0,2
1.476207,0.0,0.0,0,0,0,2
0.226474,0.0,0.0,0,0,0,2
-1.038091,0.0,0.0,0,0,0,2
-1.037208,0.0,0.0,0,0,0,2
0.22824,0.0,0.0,0,0,0,2
-0.101323,0.0,0.0,0,0,0,2
-0.099364,0.0,0.0,0,0,0,2
0.936843,0.0,0.0,0,0,0,2
0.573159,0.0,0.0,0,0,0,2
-1.035442,0.0,0.0,0,0,0,2
-2.591163,0.0,0.0,0,0,0,2
0.227357,0.0,0.0,0,0,0,2
-0.719877,0.0,0.0,0,0,0,2
-1.036518,0.0,0.0,0,0,0,2
2.329019,0.0,0.0,0,0,0,2
-1.339174,0.0,0.0,0,0,0,2
0.572854,0.0,0.0,0,0,0,2
0.228818,0.0,0.0,0,0,0,2
0.229315,0.0,0.0,0,0,0,2
-1.337407,0.0,0.0,0,0,0,2
1.85068,0.0,0.0,0,0,0,2
1.47709,0.0,0.0,0,0,0,2
1.848034,0.0,0.0,0,0,0,2
-1.340633,0.0,0.0,0,0,0,2
-0.719877,0.0,0.0,0,0,0,2
-2.317134,0.0,0.0,0,0,0,2
1.476785,0.0,0.0,0,0,0,2
-0.719107,0.0,0.0,0,0,0,2
1.478742,0.0,0.0,0,0,0,2
-1.035746,0.0,0.0,0,0,0,2
-1.339558,0.0,0.0,0,0,0,2
1.477282,0.0,0.0,0,0,0,2
-1.035635,0.0,0.0,0,0,0,2
0.22981,0.0,0.0,0,0,0,2
0.572967,0.0,0.0,0,0,0,2
