theta,phi,temp
1.275687,2.356194,38.59375
1.251816,2.446854,38.59375
1.275687,2.356194,38.59375
1.268726,0.762009,38.59375
1.268726,0.762009,38.59375
1.275687,2.356194,38.59375
1.268726,0.762009,38.59375
1.268726,0.762009,38.59375
0.0,0.0,38.59375
1.275687,3.926991,38.625
1.275687,3.926991,38.625
0.0,0.0,38.59375
1.263386,2.401618,38.625
1.241281,2.356194,38.625
1.162912,1.570909,38.625
1.162912,1.570909,38.59375
1.275687,2.356194,38.625
0.814841,2.368205,38.625
0.0,0.0,38.625
1.275687,2.356194,38.59375
0.0,0.0,38.625
1.275687,2.356194,38.59375
0.0,0.0,38.625
1.203711,2.034444,38.625
0.0,0.0,38.625
1.275687,2.356194,38.625
0.952797,1.573532,38.625
0.0,0.0,38.625
1.275687,2.356194,38.625
1.268726,0.762009,38.625
1.275687,2.356194,38.625
1.268726,0.762009,38.65625
0.0,0.0,38.625
0.0,0.0,38.65625
1.275687,3.926991,38.625
1.268726,0.762009,38.625
1.162431,-5.2e-05,38.65625
1.275687,3.926991,38.625
0.0,0.0,38.625
0.0,0.0,38.65625
1.275687,2.356194,38.625
1.275687,2.356194,38.625
1.268726,0.762009,38.625
1.171656,1.768359,38.625
1.162912,1.570909,38.625
1.268726,0.762009,38.65625
1.268726,0.762009,38.65625
1.268726,0.762009,38.65625
1.268726,0.762009,38.65625
0.0,0.0,38.65625
0.0,0.0,38.65625
1.275687,2.356194,38.65625
1.275687,2.356194,38.65625
1.275687,2.356194,38.65625
1.275687,2.356194,38.65625
0.0,0.0,38.65625
0.0,0.0,38.65625
1.268726,0.762009,38.65625
0.0,0.0,38.65625
1.183551,1.892547,38.65625
0.0,0.0,38.65625
1.275687,2.356194,38.65625
1.275687,2.356194,38.65625
1.268726,0.762009,38.65625
1.268726,0.762009,38.65625
1.268726,0.762009,38.65625
1.275687,2.356194,38.65625
1.275687,3.926991,38.6875
0.0,0.0,38.65625
1.268726,0.762009,38.65625
1.275687,2.356194,38.6875
0.0,0.0,38.6875
1.275687,2.356194,38.65625
1.162431,-5.2e-05,38.65625
0.0,0.0,38.65625
1.275687,3.926991,38.65625
0.0,0.0,38.6875
1.268726,0.762009,38.6875
0.0,0.0,38.6875
1.246921,2.245537,38.6875
1.275687,2.356194,38.6875
1.275687,2.356194,38.65625
1.275687,2.356194,38.65625
1.209326,0.472779,38.65625
1.275687,2.356194,38.65625
0.0,0.0,38.65625
1.268726,0.762009,38.65625
0.0,0.0,38.6875
1.268726,0.762009,38.6875
0.0,0.0,38.6875
1.268726,0.762009,38.6875
1.168033,2.35653,38.6875
1.268726,0.762009,38.6875
1.275687,2.356194,38.6875
0.0,0.0,38.6875
1.275687,2.356194,38.6875
1.275687,2.356194,38.6875
1.217617,2.601173,38.6875
1.239548,2.214298,38.6875
1.268726,0.762009,38.6875
1.275687,2.356194,38.6875
0.0,0.0,38.6875
1.268726,0.762009,38.71875
0.0,0.0,38.6875
0.0,0.0,38.6875
1.275687,2.356194,38.6875
1.275687,2.356194,38.6875
1.268726,0.762009,38.6875
1.275687,3.926991,38.6875
1.275687,2.356194,38.6875
1.268726,0.762009,38.6875
1.275687,2.356194,38.6875
1.268726,0.762009,38.71875
0.0,0.0,38.6875
1.275687,2.356194,38.6875
1.268726,0.762009,38.6875
0.0,0.0,38.6875
0.0,0.0,38.6875
0.0,0.0,38.6875
1.275687,2.356194,38.71875
0.0,0.0,38.6875
0.0,0.0,38.71875
1.035244,1.924851,38.6875
1.165034,-0.000253,38.6875
0.0,0.0,38.71875
1.275687,2.356194,38.6875
1.268726,0.762009,38.71875
0.0,0.0,38.71875
0.0,0.0,38.6875
1.255295,2.279423,38.71875
1.275687,2.356194,38.71875
1.275687,2.356194,38.71875
0.0,0.0,38.71875
1.234278,2.191046,38.71875
1.268726,0.762009,38.71875
0.0,0.0,38.6875
0.0,0.0,38.71875
1.243647,2.231839,38.71875
0.0,0.0,38.71875
0.0,0.0,38.71875
1.275687,2.356194,38.6875
1.258958,2.293776,38.71875
1.275687,2.356194,38.71875
0.0,0.0,38.71875
1.275687,5.497787,38.71875
1.183551,1.892547,38.71875
1.162912,1.570909,38.71875
1.268726,0.762009,38.71875
8.4e-05,0.004901,38.71875
1.249594,2.256526,38.71875
0.0,0.0,38.71875
0.0,0.0,38.71875
0.0,0.0,38.71875
1.275687,2.356194,38.71875
1.275687,2.356194,38.71875
0.0,0.0,38.71875
1.275687,2.356194,38.71875
0.0,0.0,38.71875
1.275687,2.356194,38.71875
1.275687,2.356194,38.71875
1.162431,-5.2e-05,38.71875
1.275687,2.356194,38.71875
1.268726,0.762009,38.71875
1.268726,0.762009,38.71875
1.268726,0.762009,38.71875
1.268726,0.762009,38.71875
1.275687,2.356194,38.75
1.194486,1.975688,38.71875
1.275687,2.356194,38.75
1.268726,0.762009,38.71875
1.275687,2.356194,38.75
1.275687,3.926991,38.71875
1.183551,1.892547,38.75
1.275687,2.356194,38.75
0.0,0.0,38.75
0.0,0.0,38.71875
1.275687,2.356194,38.75
0.0,0.0,38.71875
1.275687,2.356194,38.71875
0.0,0.0,38.71875
0.0,0.0,38.75
1.249594,2.256526,38.71875
1.275687,2.356194,38.75
0.0,0.0,38.75
1.275687,2.356194,38.75
