t1,t2,t3,t4
39.084442,39.656853,39.625053,39.481968
39.084442,39.656853,39.625053,39.497868
39.084442,39.656853,39.625053,39.481968
39.084442,39.656853,39.625053,39.481968
39.084442,39.656853,39.625053,39.481968
39.084442,39.656853,39.625053,39.481968
39.084442,39.640953,39.609154,39.481968
39.084442,39.656853,39.609154,39.481968
39.084442,39.640953,39.625053,39.481968
39.084442,39.656853,39.609154,39.481968
39.084442,39.640953,39.609154,39.466064
39.084442,39.640953,39.609154,39.481968
39.084442,39.640953,39.609154,39.481968
39.084442,39.640953,39.609154,39.466064
39.084442,39.640953,39.609154,39.481968
39.084442,39.640953,39.593254,39.466064
39.084442,39.640953,39.593254,39.466064
39.084442,39.640953,39.593254,39.466064
39.084442,39.640953,39.609154,39.466064
39.084442,39.640953,39.593254,39.466064
39.084442,39.625053,39.593254,39.466064
39.084442,39.625053,39.609154,39.466064
39.084442,39.625053,39.593254,39.466064
39.084442,39.625053,39.593254,39.466064
39.084442,39.625053,39.593254,39.466064
39.084442,39.625053,39.577354,39.450176
39.084442,39.625053,39.593254,39.450176
39.100338,39.625053,39.593254,39.450176
39.084442,39.625053,39.593254,39.450176
39.084442,39.625053,39.593254,39.450176
39.100338,39.609154,39.593254,39.450176
39.084442,39.625053,39.577354,39.450176
39.084442,39.609154,39.577354,39.450176
39.084442,39.625053,39.593254,39.450176
39.100338,39.609154,39.577354,39.450176
39.100338,39.609154,39.577354,39.450176
39.100338,39.609154,39.593254,39.450176
39.100338,39.609154,39.577354,39.434273
39.100338,39.609154,39.577354,39.434273
39.100338,39.609154,39.577354,39.450176
39.100338,39.609154,39.577354,39.450176
39.084442,39.609154,39.577354,39.450176
39.100338,39.609154,39.561466,39.434273
39.100338,39.609154,39.577354,39.434273
39.100338,39.593254,39.577354,39.434273
39.100338,39.609154,39.577354,39.434273
39.100338,39.609154,39.577354,39.434273
39.100338,39.593254,39.577354,39.434273
39.084442,39.593254,39.577354,39.434273
39.084442,39.577354,39.577354,39.434273
39.100338,39.593254,39.561466,39.434273
39.100338,39.593254,39.561466,39.434273
39.100338,39.593254,39.561466,39.434273
39.100338,39.577354,39.561466,39.434273
39.100338,39.593254,39.577354,39.434273
39.100338,39.577354,39.561466,39.434273
39.100338,39.577354,39.561466,39.434273
39.100338,39.593254,39.561466,39.434273
39.100338,39.577354,39.561466,39.434273
39.100338,39.593254,39.561466,39.418373
39.100338,39.577354,39.561466,39.434273
39.100338,39.577354,39.561466,39.418373
39.100338,39.577354,39.561466,39.418373
39.116241,39.577354,39.561466,39.418373
39.100338,39.577354,39.545567,39.434273
